configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,28835973,473.868,0.884,62.680
10,true,true,false,true,false,true,false,false,true,40,9,35036037,609.812,1.056,80.826
100,true,true,false,false,true,false,true,true,false,40,1,35263431,290.348,0.632,37.788
1000,true,true,false,true,false,true,true,true,false,40,9,43926197,489.044,0.760,62.944
1001,true,false,false,false,true,false,false,true,false,60,5,26627247,370.632,1.028,51.567
1002,true,false,false,true,false,true,false,false,false,60,5,35179327,438.384,1.164,60.507
1003,true,false,false,false,true,false,false,true,false,60,1,26587248,300.924,0.940,43.076
1004,true,false,false,true,false,true,false,false,false,60,1,35214483,299.224,0.964,42.250
1005,true,true,false,false,true,true,false,false,true,60,1,28778870,287.084,0.992,40.952
1006,true,true,false,false,true,true,false,false,true,60,9,28997553,612.084,1.104,82.522
1007,true,true,false,false,true,true,false,false,true,60,5,28896181,417.820,1.008,57.754
1008,true,false,false,false,true,false,false,true,false,60,9,26671722,492.128,1.084,67.167
1009,true,false,false,true,true,false,false,false,true,20,1,35073353,293.276,0.812,39.158
101,true,false,false,false,false,false,true,false,false,40,5,32719931,454.120,0.808,58.381
1010,true,false,false,true,false,true,false,false,false,60,9,35118871,632.504,1.124,84.622
1011,true,true,false,true,true,true,false,false,false,20,1,35913546,280.764,0.752,37.465
1012,true,false,false,true,true,true,true,false,false,60,5,43235641,453.280,0.860,58.662
1013,true,false,false,true,true,true,true,true,false,40,1,43172876,305.420,0.748,39.809
1014,true,false,false,true,true,true,true,false,false,60,1,43172876,305.904,0.708,39.609
1015,true,true,false,true,true,true,false,false,false,20,9,35746007,605.452,0.956,78.769
1016,true,true,false,true,true,true,false,false,false,20,5,35849600,409.700,0.752,54.055
1017,true,true,false,true,false,false,false,true,false,60,1,35545047,281.648,1.040,39.989
1018,true,false,false,true,true,true,true,true,false,40,9,43323300,503.604,0.856,64.939
1019,true,true,false,true,false,true,true,true,false,60,1,43922244,287.208,0.668,37.485
102,true,true,false,true,false,true,true,false,false,40,1,43922244,288.132,0.676,37.294
1020,true,false,false,true,true,true,true,true,false,40,5,43276917,380.444,0.820,49.331
1021,true,false,false,true,true,true,true,false,false,60,9,43237804,658.696,0.892,85.212
1022,true,true,false,true,false,true,true,true,false,60,5,43990616,362.444,0.720,47.275
1023,true,false,false,true,false,true,false,true,false,60,1,35214483,299.868,0.952,42.640
1024,true,true,false,true,false,true,true,true,false,60,9,43926197,489.540,0.812,63.011
1025,true,false,false,true,false,false,true,false,true,20,9,43965979,662.272,0.892,85.301
1026,true,true,false,false,true,true,false,true,false,60,1,28940676,290.044,1.008,41.360
1027,true,false,false,true,false,false,true,false,true,20,1,43773376,309.568,0.636,40.028
1028,true,false,false,true,false,false,true,false,true,20,5,43893054,452.304,0.884,58.064
1029,true,true,false,false,true,true,false,true,false,60,9,29033825,481.124,1.180,65.657
103,true,true,false,false,true,false,true,true,false,40,5,35325283,366.920,0.736,47.346
1030,true,false,false,false,true,false,false,false,true,20,9,26576014,631.236,0.908,82.310
1031,true,true,false,true,false,false,false,true,false,60,5,35561563,355.088,1.136,49.711
1032,true,true,false,true,true,true,false,true,true,40,9,35753425,468.516,0.992,62.197
1033,true,false,false,false,true,false,false,false,true,20,5,26487853,432.412,0.876,56.644
1034,true,true,false,false,true,true,false,true,false,60,5,28988052,360.080,1.044,50.181
1035,true,true,false,true,false,false,false,true,false,60,9,35480182,480.148,1.056,65.340
1036,true,false,false,false,true,false,false,false,true,20,1,26338545,295.436,0.788,39.355
1037,true,false,false,true,false,true,false,true,false,60,9,35262491,498.308,1.120,67.803
1038,true,true,false,true,true,true,false,false,true,60,5,35710357,413.328,0.976,56.950
1039,true,true,false,true,true,true,false,true,true,40,1,35773539,280.976,0.792,38.818
104,true,false,false,false,false,false,true,false,false,40,1,32447747,307.928,0.664,40.106
1040,true,false,false,true,false,true,false,true,false,60,5,35280388,375.256,1.120,52.269
1041,true,true,false,true,true,true,false,false,true,60,9,35607127,607.484,0.992,81.346
1042,true,true,false,true,true,true,false,true,true,40,5,35794477,347.764,0.944,47.096
1043,true,false,false,true,true,true,true,false,false,40,5,43235641,452.416,0.772,58.730
1044,true,false,false,true,true,true,true,true,false,20,1,43172876,305.144,0.804,39.871
1045,true,true,false,true,true,true,false,false,false,40,1,35940781,282.216,0.888,39.243
1046,true,false,false,true,true,true,true,false,false,40,1,43172876,305.548,0.680,39.836
1047,true,true,false,false,false,true,false,false,true,20,9,28721460,613.424,0.872,80.198
1048,true,true,false,true,true,true,false,false,false,40,9,35769623,610.128,0.988,80.976
1049,true,true,false,true,true,true,false,true,false,20,5,35963957,352.496,0.824,46.677
105,true,true,false,true,false,true,true,false,false,40,5,43844109,430.372,0.812,55.654
1050,true,true,false,false,false,true,false,false,true,20,5,28660151,413.872,0.836,54.557
1051,true,true,false,true,true,true,false,true,false,20,1,35913546,279.344,0.788,37.422
1052,true,true,false,true,true,true,false,false,false,40,5,35878646,413.536,0.988,55.654
1053,true,true,false,false,false,true,false,false,true,20,1,28589430,279.920,0.716,37.293
1054,true,false,false,true,false,false,true,false,true,40,1,43773376,308.716,0.676,39.960
1055,true,false,false,true,true,true,true,true,false,20,9,43323300,501.752,0.840,64.648
1056,true,false,false,true,true,true,true,false,false,40,9,43237804,655.556,0.848,84.433
1057,true,false,false,true,true,true,true,true,false,20,5,43276917,380.256,0.884,49.173
1058,true,false,false,true,false,false,true,true,true,20,9,44086781,509.816,0.808,65.563
1059,true,false,false,true,false,false,true,false,true,40,5,43893054,454.972,0.920,59.047
106,true,true,false,false,true,false,true,true,false,40,9,35369355,489.796,0.832,63.245
1060,true,false,false,true,false,false,true,true,true,20,1,43773376,308.740,0.696,39.940
1061,true,true,false,false,true,true,false,true,false,40,1,28948179,286.620,0.840,39.521
1062,true,true,false,false,true,true,false,false,false,60,5,29077303,418.648,1.028,57.863
1063,true,false,false,true,false,false,true,false,true,40,9,43965979,662.012,0.828,84.603
1064,true,false,false,true,false,false,true,true,true,20,5,43965247,383.776,0.692,49.395
1065,true,true,false,false,true,true,false,false,false,60,1,28940676,287.328,0.972,40.972
1066,true,true,false,true,true,true,false,true,true,60,9,35763719,470.548,0.996,64.120
1067,true,true,false,false,true,true,false,true,false,40,9,29024437,480.840,1.068,64.264
1068,true,true,false,false,true,true,false,true,false,40,5,28974276,357.732,0.952,48.451
1069,true,true,false,true,true,true,false,true,false,20,9,35878142,470.416,0.924,61.501
107,true,false,false,false,false,false,false,true,false,20,1,26963906,298.972,0.828,39.998
1070,true,true,false,false,true,true,false,false,false,60,9,29157143,613.404,1.080,82.225
1071,true,true,false,true,true,true,false,true,true,60,1,35784812,282.316,1.080,40.285
1072,true,true,false,true,true,true,false,true,true,60,5,35803560,354.440,1.016,49.598
1073,true,false,false,true,true,true,true,false,false,20,1,43172876,306.220,0.676,39.732
1074,true,false,false,false,true,false,false,true,true,20,9,26452250,483.384,1.012,63.375
1075,true,true,false,true,false,false,false,false,false,40,1,35554089,280.132,0.968,38.638
1076,true,false,false,false,true,true,true,false,false,60,9,32373018,660.492,0.832,84.750
1077,true,false,false,true,false,false,true,true,false,60,9,43263954,505.668,0.792,65.238
1078,true,false,false,false,true,true,true,true,false,40,5,32151655,381.172,0.696,49.242
1079,true,false,false,false,true,true,true,true,false,40,9,32190720,503.152,0.804,64.628
108,true,true,false,true,false,true,true,false,false,40,9,43703157,637.360,0.848,82.764
1080,true,false,false,true,false,false,true,false,true,60,1,43773376,308.364,0.736,39.953
1081,true,false,false,true,true,true,true,false,false,20,9,43237804,656.180,0.820,84.710
1082,true,false,false,false,true,true,true,false,false,60,1,32099412,307.400,0.664,39.921
1083,true,false,false,true,false,false,true,true,false,60,1,43146732,306.128,0.736,40.057
1084,true,false,false,true,true,true,true,false,false,20,5,43235641,451.276,0.756,58.204
1085,true,false,false,true,false,false,true,true,false,60,5,43247935,382.296,0.872,49.535
1086,true,false,false,false,true,true,true,false,false,60,5,32275670,454.244,0.836,58.690
1087,true,false,false,false,true,true,true,true,false,40,1,32099412,306.872,0.688,39.682
