configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,947649,4.380,0.056,0.982
10,true,true,false,true,false,true,false,false,true,40,9,1021019,5.948,0.056,0.982
100,true,true,false,false,true,false,true,true,false,40,1,778028,3.144,0.056,0.428
1000,true,true,false,true,false,true,true,true,false,40,9,843321,4.164,0.028,0.569
1001,true,false,false,false,true,false,false,true,false,60,5,956302,4.064,0.076,0.703
1002,true,false,false,true,false,true,false,false,false,60,5,1046235,4.992,0.052,0.862
1003,true,false,false,false,true,false,false,true,false,60,1,960615,3.564,0.064,0.634
1004,true,false,false,true,false,true,false,false,false,60,1,1055213,3.636,0.036,0.657
1005,true,true,false,false,true,true,false,false,true,60,1,955700,3.328,0.060,0.603
1006,true,true,false,false,true,true,false,false,true,60,9,941328,5.944,0.084,1.030
1007,true,true,false,false,true,true,false,false,true,60,5,944309,4.720,0.060,0.811
1008,true,false,false,false,true,false,false,true,false,60,9,955830,4.616,0.076,0.774
1009,true,false,false,true,true,false,false,false,true,20,1,1058636,3.564,0.072,0.546
101,true,false,false,false,false,false,true,false,false,40,5,771348,4.736,0.056,0.739
1010,true,false,false,true,false,true,false,false,false,60,9,1041915,6.204,0.080,1.088
1011,true,true,false,true,true,true,false,false,false,20,1,1036560,3.360,0.028,0.497
1012,true,false,false,true,true,true,true,false,false,60,5,861054,4.812,0.040,0.770
1013,true,false,false,true,true,true,true,true,false,40,1,868062,3.420,0.012,0.465
1014,true,false,false,true,true,true,true,false,false,60,1,868062,3.412,0.016,0.466
1015,true,true,false,true,true,true,false,false,false,20,9,1023339,5.940,0.064,0.928
1016,true,true,false,true,true,true,false,false,false,20,5,1026901,4.748,0.044,0.717
1017,true,true,false,true,false,false,false,true,false,60,1,1034198,3.364,0.068,0.601
1018,true,false,false,true,true,true,true,true,false,40,9,863443,4.432,0.032,0.618
1019,true,true,false,true,false,true,true,true,false,60,1,848447,3.140,0.048,0.427
102,true,true,false,true,false,true,true,false,false,40,1,848447,3.152,0.036,0.432
1020,true,false,false,true,true,true,true,true,false,40,5,866292,3.884,0.032,0.543
1021,true,false,false,true,true,true,true,false,false,60,9,855656,5.996,0.044,0.929
1022,true,true,false,true,false,true,true,true,false,60,5,847033,3.632,0.056,0.501
1023,true,false,false,true,false,true,false,true,false,60,1,1055213,3.628,0.036,0.639
1024,true,true,false,true,false,true,true,true,false,60,9,843321,4.156,0.048,0.577
1025,true,false,false,true,false,false,true,false,true,20,9,852693,5.932,0.048,0.924
1026,true,true,false,false,true,true,false,true,false,60,1,956292,3.332,0.060,0.602
1027,true,false,false,true,false,false,true,false,true,20,1,866954,3.392,0.036,0.471
1028,true,false,false,true,false,false,true,false,true,20,5,859896,4.760,0.056,0.741
1029,true,true,false,false,true,true,false,true,false,60,9,949630,4.384,0.064,0.730
103,true,true,false,false,true,false,true,true,false,40,5,775652,3.676,0.024,0.496
1030,true,false,false,false,true,false,false,false,true,20,9,948354,6.152,0.056,0.960
1031,true,true,false,true,false,false,false,true,false,60,5,1029826,3.860,0.048,0.669
1032,true,true,false,true,true,true,false,true,true,40,9,1029621,4.392,0.044,0.686
1033,true,false,false,false,true,false,false,false,true,20,5,949737,4.916,0.040,0.750
1034,true,true,false,false,true,true,false,true,false,60,5,951206,3.848,0.052,0.663
1035,true,true,false,true,false,false,false,true,false,60,9,1028580,4.364,0.072,0.782
1036,true,false,false,false,true,false,false,false,true,20,1,960238,3.540,0.056,0.527
1037,true,false,false,true,false,true,false,true,false,60,9,1049621,4.664,0.060,0.795
1038,true,true,false,true,true,true,false,false,true,60,5,1027483,4.708,0.076,0.818
1039,true,true,false,true,true,true,false,true,true,40,1,1036178,3.372,0.032,0.548
104,true,false,false,false,false,false,true,false,false,40,1,779833,3.360,0.036,0.458
1040,true,false,false,true,false,true,false,true,false,60,5,1053454,4.120,0.068,0.726
1041,true,true,false,true,true,true,false,false,true,60,9,1022198,5.964,0.072,1.033
