configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,805550,16.440,0.132,2.967
10,true,true,false,true,false,true,false,false,true,40,9,919752,18.864,0.188,3.250
100,true,true,false,false,true,false,true,true,false,40,1,825417,10.976,0.124,1.729
1000,true,true,false,true,false,true,true,true,false,40,9,880405,16.740,0.224,2.656
1001,true,false,false,false,true,false,false,true,false,60,5,921861,13.548,0.176,2.353
1002,true,false,false,true,false,true,false,false,false,60,5,978208,15.220,0.184,2.744
1003,true,false,false,false,true,false,false,true,false,60,1,928174,11.156,0.172,1.977
1004,true,false,false,true,false,true,false,false,false,60,1,1004604,11.224,0.152,1.998
1005,true,true,false,false,true,true,false,false,true,60,1,909307,10.824,0.164,1.913
1006,true,true,false,false,true,true,false,false,true,60,9,871006,19.364,0.208,3.303
1007,true,true,false,false,true,true,false,false,true,60,5,884118,14.920,0.204,2.652
1008,true,false,false,false,true,false,false,true,false,60,9,912147,16.540,0.220,2.781
1009,true,false,false,true,true,false,false,false,true,20,1,913642,10.724,0.136,1.772
101,true,false,false,false,false,false,true,false,false,40,5,837716,15.592,0.152,2.570
1010,true,false,false,true,false,true,false,false,false,60,9,964110,19.456,0.196,3.429
1011,true,true,false,true,true,true,false,false,false,20,1,895994,10.304,0.184,1.708
1012,true,false,false,true,true,true,true,false,false,60,5,904425,15.520,0.172,2.606
1013,true,false,false,true,true,true,true,true,false,40,1,931446,11.344,0.140,1.815
1014,true,false,false,true,true,true,true,false,false,60,1,931446,11.252,0.188,1.814
1015,true,true,false,true,true,true,false,false,false,20,9,854167,18.532,0.184,3.150
1016,true,true,false,true,true,true,false,false,false,20,5,866378,14.332,0.236,2.497
1017,true,true,false,true,false,false,false,true,false,60,1,979680,10.752,0.184,1.948
1018,true,false,false,true,true,true,true,true,false,40,9,911111,17.268,0.140,2.731
1019,true,true,false,true,false,true,true,true,false,60,1,892557,10.804,0.140,1.710
102,true,true,false,true,false,true,true,false,false,40,1,892557,10.812,0.100,1.695
1020,true,false,false,true,true,true,true,true,false,40,5,917048,13.876,0.196,2.272
1021,true,false,false,true,true,true,true,false,false,60,9,894092,20.132,0.172,3.343
1022,true,true,false,true,false,true,true,true,false,60,5,885250,13.440,0.188,2.194
1023,true,false,false,true,false,true,false,true,false,60,1,1004604,11.188,0.172,1.988
1024,true,true,false,true,false,true,true,true,false,60,9,880405,16.812,0.160,2.658
1025,true,false,false,true,false,false,true,false,true,20,9,885828,19.568,0.272,3.286
1026,true,true,false,false,true,true,false,true,false,60,1,908594,10.840,0.156,1.923
1027,true,false,false,true,false,false,true,false,true,20,1,916992,11.216,0.188,1.796
1028,true,false,false,true,false,false,true,false,true,20,5,897672,15.256,0.140,2.572
1029,true,true,false,false,true,true,false,true,false,60,9,887500,16.584,0.212,2.752
103,true,true,false,false,true,false,true,true,false,40,5,820006,13.516,0.156,2.161
1030,true,false,false,false,true,false,false,false,true,20,9,811499,18.796,0.232,3.178
1031,true,true,false,true,false,false,false,true,false,60,5,963382,13.112,0.160,2.335
1032,true,true,false,true,true,true,false,true,true,40,9,941279,16.200,0.152,2.678
1033,true,false,false,false,true,false,false,false,true,20,5,822881,14.628,0.224,2.493
1034,true,true,false,false,true,true,false,true,false,60,5,897880,13.464,0.172,2.343
1035,true,true,false,true,false,false,false,true,false,60,9,953188,16.024,0.124,2.720
1036,true,false,false,false,true,false,false,false,true,20,1,840765,10.824,0.120,1.807
1037,true,false,false,true,false,true,false,true,false,60,9,983194,16.864,0.172,2.875
1038,true,true,false,true,true,true,false,false,true,60,5,960076,14.780,0.188,2.664
1039,true,true,false,true,true,true,false,true,true,40,1,973833,10.584,0.168,1.792
