configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,845930,2.232,0.049600000000000005,0.5256000000000001
10,True,True,False,True,False,True,False,False,True,40,9,921864,2.7024,0.058399999999999994,0.6536000000000001
100,True,True,False,False,True,False,True,True,False,40,1,652972,1.52,0.036000000000000004,0.28500000000000003
1000,True,True,False,True,False,True,True,True,False,40,9,713086,2.1479999999999997,0.0432,0.4234
1001,True,False,False,False,True,False,False,True,False,60,5,872295,2.008,0.058399999999999994,0.5229999999999999
1002,True,False,False,True,False,True,False,False,False,60,5,933678,2.3504,0.068,0.6346
1003,True,False,False,False,True,False,False,True,False,60,1,890822,1.7879999999999998,0.0632,0.47919999999999996
1004,True,False,False,True,False,True,False,False,False,60,1,962969,1.924,0.0528,0.5224
1005,True,True,False,False,True,True,False,False,True,60,1,878815,1.6608,0.0624,0.4284
1006,True,True,False,False,True,True,False,False,True,60,9,842352,2.5504000000000007,0.059199999999999996,0.6388
1007,True,True,False,False,True,True,False,False,True,60,5,850888,2.16,0.0656,0.5588
1008,True,False,False,False,True,False,False,True,False,60,9,869237,2.3376,0.06080000000000001,0.5711999999999999
1009,True,False,False,True,True,False,False,False,True,20,1,968968,1.8504,0.0408,0.4164
101,True,False,False,False,False,False,True,False,False,40,5,663007,2.084,0.0424,0.4196
1010,True,False,False,True,False,True,False,False,False,60,9,925252,2.7536,0.05920000000000001,0.7014
1011,True,True,False,True,True,True,False,False,False,20,1,924951,1.7271999999999998,0.0432,0.40020000000000006
1012,True,False,False,True,True,True,True,False,False,60,5,727303,2.1792,0.0432,0.4474
1013,True,False,False,True,True,True,True,True,False,40,1,750833,1.7071999999999998,0.0416,0.33520000000000005
1014,True,False,False,True,True,True,True,False,False,60,1,750833,1.6896,0.039999999999999994,0.3316
1015,True,True,False,True,True,True,False,False,False,20,9,886621,2.6296,0.052000000000000005,0.6042
1016,True,True,False,True,True,True,False,False,False,20,5,895737,2.1727999999999996,0.0456,0.5117999999999999
1017,True,True,False,True,False,False,False,True,False,60,1,940085,1.8344,0.06960000000000001,0.5134000000000001
1018,True,False,False,True,True,True,True,True,False,40,9,735935,2.2615999999999996,0.0448,0.44480000000000003
1019,True,True,False,True,False,True,True,True,False,60,1,726921,1.6991999999999998,0.046400000000000004,0.3374
102,True,True,False,True,False,True,True,False,False,40,1,726921,1.6512,0.030400000000000003,0.3206
1020,True,False,False,True,True,True,True,True,False,40,5,740217,1.9432000000000003,0.0288,0.38739999999999997
1021,True,False,False,True,True,True,True,False,False,60,9,720725,2.6247999999999996,0.0472,0.5368
1022,True,True,False,True,False,True,True,True,False,60,5,716656,1.8783999999999998,0.0408,0.37259999999999993
1023,True,False,False,True,False,True,False,True,False,60,1,962969,1.8752000000000002,0.05600000000000001,0.5109999999999999
1024,True,True,False,True,False,True,True,True,False,60,9,713086,2.1632000000000002,0.038400000000000004,0.422
1025,True,False,False,True,False,False,True,False,True,20,9,725442,2.608,0.03760000000000001,0.5392
1026,True,True,False,False,True,True,False,True,False,60,1,860623,1.6584000000000003,0.044000000000000004,0.42139999999999994
1027,True,False,False,True,False,False,True,False,True,20,1,756957,1.7432000000000003,0.0368,0.33680000000000004
1028,True,False,False,True,False,False,True,False,True,20,5,730735,2.1504,0.047200000000000006,0.4436
1029,True,True,False,False,True,True,False,True,False,60,9,842361,2.1968000000000005,0.0648,0.5374000000000001
103,True,True,False,False,True,False,True,True,False,40,5,641821,1.7591999999999999,0.048,0.34299999999999997
1030,True,False,False,False,True,False,False,False,True,20,9,856699,2.6024000000000003,0.041600000000000005,0.5692
1031,True,True,False,True,False,False,False,True,False,60,5,924298,2.0808,0.0688,0.5538000000000001
1032,True,True,False,True,True,True,False,True,True,40,9,940537,2.32,0.0536,0.5509999999999999
1033,True,False,False,False,True,False,False,False,True,20,5,865699,2.1688,0.040799999999999996,0.4822
1034,True,True,False,False,True,True,False,True,False,60,5,845379,1.8776,0.0616,0.4848
1035,True,True,False,True,False,False,False,True,False,60,9,920062,2.2848,0.0656,0.5906
1036,True,False,False,False,True,False,False,False,True,20,1,892564,1.7192,0.04240000000000001,0.36260000000000003
1037,True,False,False,True,False,True,False,True,False,60,9,943848,2.368,0.057600000000000005,0.6038
