configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,3115322,42.636,0.508,4.549
10,true,true,false,true,false,true,false,false,true,40,9,3545312,49.380,0.588,5.576
100,true,true,false,false,true,false,true,true,false,40,1,4259350,28.456,0.356,2.693
1000,true,true,false,true,false,true,true,true,false,40,9,4809517,44.440,0.464,4.239
1001,true,false,false,false,true,false,false,true,false,60,5,3152693,34.248,0.536,4.138
1002,true,false,false,true,false,true,false,false,false,60,5,3578470,39.656,0.516,4.791
1003,true,false,false,false,true,false,false,true,false,60,1,3171209,28.664,0.472,3.796
1004,true,false,false,true,false,true,false,false,false,60,1,3596232,28.924,0.448,3.843
1005,true,true,false,false,true,true,false,false,true,60,1,3165441,27.256,0.472,3.707
1006,true,true,false,false,true,true,false,false,true,60,9,3126601,49.836,0.552,5.625
1007,true,true,false,false,true,true,false,false,true,60,5,3130974,37.948,0.468,4.451
1008,true,false,false,false,true,false,false,true,false,60,9,3149124,41.916,0.576,4.744
1009,true,false,false,true,true,false,false,false,true,20,1,3620772,27.392,0.380,3.108
101,true,false,false,false,false,false,true,false,false,40,5,4205066,41.228,0.460,4.270
1010,true,false,false,true,false,true,false,false,false,60,9,3571769,52.172,0.596,6.234
1011,true,true,false,true,true,true,false,false,false,20,1,3572968,26.092,0.420,3.139
1012,true,false,false,true,true,true,true,false,false,60,5,4881754,42.424,0.436,4.386
1013,true,false,false,true,true,true,true,true,false,40,1,4919424,30.532,0.348,2.820
1014,true,false,false,true,true,true,true,false,false,60,1,4919424,30.320,0.444,2.829
1015,true,true,false,true,true,true,false,false,false,20,9,3532260,48.556,0.444,5.320
1016,true,true,false,true,true,true,false,false,false,20,5,3539253,36.804,0.496,4.130
1017,true,true,false,true,false,false,false,true,false,60,1,3539370,26.524,0.480,3.863
1018,true,false,false,true,true,true,true,true,false,40,9,4908061,46.620,0.528,4.443
1019,true,true,false,true,false,true,true,true,false,60,1,4827804,28.432,0.356,2.748
102,true,true,false,true,false,true,true,false,false,40,1,4827804,28.160,0.360,2.667
1020,true,false,false,true,true,true,true,true,false,40,5,4906242,37.500,0.460,3.592
1021,true,false,false,true,true,true,true,false,false,60,9,4878410,55.164,0.460,5.933
1022,true,true,false,true,false,true,true,true,false,60,5,4818076,35.164,0.496,3.377
1023,true,false,false,true,false,true,false,true,false,60,1,3596232,28.672,0.436,3.739
1024,true,true,false,true,false,true,true,true,false,60,9,4809517,44.300,0.444,4.198
1025,true,false,false,true,false,false,true,false,true,20,9,4880464,52.736,0.492,5.637
1026,true,true,false,false,true,true,false,true,false,60,1,3142869,27.416,0.416,3.883
1027,true,false,false,true,false,false,true,false,true,20,1,4921320,30.572,0.372,2.890
1028,true,false,false,true,false,false,true,false,true,20,5,4890630,41.160,0.412,4.196
1029,true,true,false,false,true,true,false,true,false,60,9,3119676,43.108,0.496,4.722
103,true,true,false,false,true,false,true,true,false,40,5,4233273,34.572,0.356,3.228
1030,true,false,false,false,true,false,false,false,true,20,9,3133250,48.824,0.504,5.442
1031,true,true,false,true,false,false,false,true,false,60,5,3523418,31.960,0.520,4.041
1032,true,true,false,true,true,true,false,true,true,40,9,3614882,42.328,0.516,4.372
1033,true,false,false,false,true,false,false,false,true,20,5,3136177,37.960,0.460,4.248
1034,true,true,false,false,true,true,false,true,false,60,5,3120886,33.928,0.560,4.034
1035,true,true,false,true,false,false,false,true,false,60,9,3517239,39.892,0.492,4.574
1036,true,false,false,false,true,false,false,false,true,20,1,3162368,27.780,0.352,3.243
1037,true,false,false,true,false,true,false,true,false,60,9,3591610,44.716,0.580,4.929
1038,true,true,false,true,true,true,false,false,true,60,5,3599361,37.368,0.536,4.442
1039,true,true,false,true,true,true,false,true,true,40,1,3630937,26.344,0.460,3.450
104,true,false,false,false,false,false,true,false,false,40,1,4231791,30.596,0.372,2.850
1040,true,false,false,true,false,true,false,true,false,60,5,3599634,35.664,0.528,4.245
1041,true,true,false,true,true,true,false,false,true,60,9,3590448,49.328,0.576,5.741
1042,true,true,false,true,true,true,false,true,true,40,5,3621315,33.176,0.432,3.770
1043,true,false,false,true,true,true,true,false,false,40,5,4881754,42.216,0.480,4.371
1044,true,false,false,true,true,true,true,true,false,20,1,4919424,30.468,0.396,2.812
1045,true,true,false,true,true,true,false,false,false,40,1,3598392,26.444,0.448,3.506
1046,true,false,false,true,true,true,true,false,false,40,1,4919424,30.520,0.384,2.825
1047,true,true,false,false,false,true,false,false,true,20,9,3054365,49.120,0.444,5.272
1048,true,true,false,true,true,true,false,false,false,40,9,3556803,49.212,0.556,5.697
1049,true,true,false,true,true,true,false,true,false,20,5,3563959,32.492,0.504,3.446
105,true,true,false,true,false,true,true,false,false,40,5,4790302,39.716,0.352,4.057
1050,true,true,false,false,false,true,false,false,true,20,5,3058038,37.096,0.476,4.051
1051,true,true,false,true,true,true,false,true,false,20,1,3572968,25.972,0.360,3.119
1052,true,true,false,true,true,true,false,false,false,40,5,3566243,37.052,0.472,4.307
1053,true,true,false,false,false,true,false,false,true,20,1,3086070,26.780,0.360,3.197
1054,true,false,false,true,false,false,true,false,true,40,1,4921320,30.332,0.420,2.822
1055,true,false,false,true,true,true,true,true,false,20,9,4908061,46.732,0.504,4.409
1056,true,false,false,true,true,true,true,false,false,40,9,4878410,55.244,0.472,5.943
1057,true,false,false,true,true,true,true,true,false,20,5,4906242,37.340,0.468,3.513
1058,true,false,false,true,false,false,true,true,true,20,9,4910524,44.288,0.444,4.096
1059,true,false,false,true,false,false,true,false,true,40,5,4890630,41.268,0.408,4.234
106,true,true,false,false,true,false,true,true,false,40,9,4235548,42.216,0.404,3.934
1060,true,false,false,true,false,false,true,true,true,20,1,4921320,30.480,0.344,2.884
1061,true,true,false,false,true,true,false,true,false,40,1,3139521,26.828,0.444,3.400
1062,true,true,false,false,true,true,false,false,false,60,5,3103750,37.760,0.448,4.484
1063,true,false,false,true,false,false,true,false,true,40,9,4880464,52.640,0.516,5.581
