configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,2856876,32.696,0.320,3.006
10,true,true,false,true,false,true,false,false,true,40,9,3156353,37.880,0.368,3.375
100,true,true,false,false,true,false,true,true,false,40,1,2579169,19.776,0.268,1.607
1000,true,true,false,true,false,true,true,true,false,40,9,2783338,31.128,0.264,2.468
1001,true,false,false,false,true,false,false,true,false,60,5,3068721,26.196,0.396,2.407
1002,true,false,false,true,false,true,false,false,false,60,5,3369565,29.388,0.340,2.717
1003,true,false,false,false,true,false,false,true,false,60,1,3095795,21.636,0.312,1.905
1004,true,false,false,true,false,true,false,false,false,60,1,3410124,21.200,0.296,1.934
1005,true,true,false,false,true,true,false,false,true,60,1,2955409,20.808,0.268,1.886
1006,true,true,false,false,true,true,false,false,true,60,9,2848136,39.324,0.396,3.555
1007,true,true,false,false,true,true,false,false,true,60,5,2880627,28.856,0.380,2.605
1008,true,false,false,false,true,false,false,true,false,60,9,3048482,33.152,0.376,2.817
1009,true,false,false,true,true,false,false,false,true,20,1,3392737,21.052,0.228,1.759
101,true,false,false,false,false,false,true,false,false,40,5,2578913,28.036,0.232,2.323
1010,true,false,false,true,false,true,false,false,false,60,9,3339016,39.256,0.376,3.651
1011,true,true,false,true,true,true,false,false,false,20,1,3289603,19.980,0.284,1.739
1012,true,false,false,true,true,true,true,false,false,60,5,2935757,28.852,0.316,2.450
1013,true,false,false,true,true,true,true,true,false,40,1,2995770,20.684,0.248,1.701
1014,true,false,false,true,true,true,true,false,false,60,1,2995770,20.864,0.208,1.724
1015,true,true,false,true,true,true,false,false,false,20,9,3184165,38.428,0.352,3.413
1016,true,true,false,true,true,true,false,false,false,20,5,3220405,28.084,0.332,2.411
1017,true,true,false,true,false,false,false,true,false,60,1,3256608,19.848,0.316,1.874
1018,true,false,false,true,true,true,true,true,false,40,9,2948768,32.844,0.292,2.575
1019,true,true,false,true,false,true,true,true,false,60,1,2825405,18.964,0.236,1.556
102,true,true,false,true,false,true,true,false,false,40,1,2825405,18.988,0.192,1.561
1020,true,false,false,true,true,true,true,true,false,40,5,2968342,25.552,0.248,2.074
1021,true,false,false,true,true,true,true,false,false,60,9,2907025,39.104,0.368,3.360
1022,true,true,false,true,false,true,true,true,false,60,5,2803460,23.936,0.232,1.981
1023,true,false,false,true,false,true,false,true,false,60,1,3410124,21.272,0.296,1.963
1024,true,true,false,true,false,true,true,true,false,60,9,2783338,31.268,0.280,2.540
1025,true,false,false,true,false,false,true,false,true,20,9,2868081,36.696,0.324,3.090
1026,true,true,false,false,true,true,false,true,false,60,1,2968846,20.788,0.276,1.879
1027,true,false,false,true,false,false,true,false,true,20,1,2943681,20.124,0.232,1.608
1028,true,false,false,true,false,false,true,false,true,20,5,2891665,27.288,0.360,2.305
1029,true,true,false,false,true,true,false,true,false,60,9,2907733,32.856,0.340,2.793
103,true,true,false,false,true,false,true,true,false,40,5,2534825,24.300,0.296,1.987
1030,true,false,false,false,true,false,false,false,true,20,9,2961356,39.196,0.372,3.383
1031,true,true,false,true,false,false,false,true,false,60,5,3232359,24.236,0.316,2.179
1032,true,true,false,true,true,true,false,true,true,40,9,3240013,31.860,0.316,2.622
1033,true,false,false,false,true,false,false,false,true,20,5,2986959,29.380,0.308,2.532
1034,true,true,false,false,true,true,false,true,false,60,5,2929042,25.712,0.372,2.291
1035,true,true,false,true,false,false,false,true,false,60,9,3207267,31.180,0.328,2.683
1036,true,false,false,false,true,false,false,false,true,20,1,3039328,21.524,0.296,1.789
1037,true,false,false,true,false,true,false,true,false,60,9,3383689,33.284,0.400,2.804
1038,true,true,false,true,true,true,false,false,true,60,5,3237307,28.444,0.328,2.595
1039,true,true,false,true,true,true,false,true,true,40,1,3303239,20.148,0.292,1.805
104,true,false,false,false,false,false,true,false,false,40,1,2620271,20.576,0.216,1.644
1040,true,false,false,true,false,true,false,true,false,60,5,3406544,25.996,0.356,2.330
1041,true,true,false,true,true,true,false,false,true,60,9,3202916,38.604,0.348,3.541
1042,true,true,false,true,true,true,false,true,true,40,5,3274161,24.820,0.344,2.176
1043,true,false,false,true,true,true,true,false,false,40,5,2935757,28.940,0.312,2.459
1044,true,false,false,true,true,true,true,true,false,20,1,2995770,20.684,0.264,1.670
1045,true,true,false,true,true,true,false,false,false,40,1,3323786,20.164,0.256,1.783
1046,true,false,false,true,true,true,true,false,false,40,1,2995770,20.696,0.256,1.681
1047,true,true,false,false,false,true,false,false,true,20,9,2771572,38.232,0.372,3.373
1048,true,true,false,true,true,true,false,false,false,40,9,3219320,38.428,0.444,3.494
1049,true,true,false,true,true,true,false,true,false,20,5,3257079,25.032,0.264,2.095
105,true,true,false,true,false,true,true,false,false,40,5,2767679,27.004,0.296,2.274
1050,true,true,false,false,false,true,false,false,true,20,5,2802205,28.344,0.324,2.463
1051,true,true,false,true,true,true,false,true,false,20,1,3289603,19.856,0.264,1.631
1052,true,true,false,true,true,true,false,false,false,40,5,3254356,28.328,0.264,2.512
1053,true,true,false,false,false,true,false,false,true,20,1,2857872,20.156,0.276,1.688
1054,true,false,false,true,false,false,true,false,true,40,1,2943681,20.140,0.252,1.622
1055,true,false,false,true,true,true,true,true,false,20,9,2948768,32.872,0.344,2.609
1056,true,false,false,true,true,true,true,false,false,40,9,2907025,39.144,0.340,3.348
1057,true,false,false,true,true,true,true,true,false,20,5,2968342,25.628,0.228,2.055
1058,true,false,false,true,false,false,true,true,true,20,9,2902823,31.196,0.308,2.501
1059,true,false,false,true,false,false,true,false,true,40,5,2891665,27.356,0.316,2.297
106,true,true,false,false,true,false,true,true,false,40,9,2519677,31.196,0.280,2.480
1060,true,false,false,true,false,false,true,true,true,20,1,2943681,20.132,0.240,1.647
1061,true,true,false,false,true,true,false,true,false,40,1,2968430,20.588,0.260,1.822
1062,true,true,false,false,true,true,false,false,false,60,5,2896027,29.144,0.404,2.660
1063,true,false,false,true,false,false,true,false,true,40,9,2868081,36.840,0.304,3.078
1064,true,false,false,true,false,false,true,true,true,20,5,2924903,24.480,0.288,2.012
1065,true,true,false,false,true,true,false,false,false,60,1,2968846,20.888,0.276,1.948
1066,true,true,false,true,true,true,false,true,true,60,9,3243073,32.288,0.300,2.745
1067,true,true,false,false,true,true,false,true,false,40,9,2904706,32.732,0.368,2.738
1068,true,true,false,false,true,true,false,true,false,40,5,2928587,25.536,0.324,2.206
1069,true,true,false,true,true,true,false,true,false,20,9,3227527,31.984,0.304,2.545
107,true,false,false,false,false,false,false,true,false,20,1,3010437,21.112,0.204,1.736
1070,true,true,false,false,true,true,false,false,false,60,9,2868554,39.648,0.392,3.793
1071,true,true,false,true,true,true,false,true,true,60,1,3303757,20.240,0.268,1.875
1072,true,true,false,true,true,true,false,true,true,60,5,3277290,24.896,0.296,2.168
1073,true,false,false,true,true,true,true,false,false,20,1,2995770,20.740,0.256,1.678
1074,true,false,false,false,true,false,false,true,true,20,9,2991919,32.876,0.296,2.626
