configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,3115322,42.372,0.5182222222222221,4.243555555555556
10,True,True,False,True,False,True,False,False,True,40,9,3545312,49.13111111111111,0.5386666666666667,5.547333333333333
100,True,True,False,False,True,False,True,True,False,40,1,4259350,28.531111111111116,0.3666666666666666,2.7140000000000004
1000,True,True,False,True,False,True,True,True,False,40,9,4809517,44.376444444444445,0.45422222222222225,4.213222222222222
1001,True,False,False,False,True,False,False,True,False,60,5,3152693,34.19733333333333,0.48844444444444446,4.166777777777778
1002,True,False,False,True,False,True,False,False,False,60,5,3578470,39.90444444444445,0.5013333333333334,4.824777777777778
1003,True,False,False,False,True,False,False,True,False,60,1,3171209,28.556,0.4555555555555556,3.811
1004,True,False,False,True,False,True,False,False,False,60,1,3596232,28.741333333333337,0.4635555555555555,3.852
1005,True,True,False,False,True,True,False,False,True,60,1,3165441,27.24488888888889,0.49244444444444446,3.7576666666666663
1006,True,True,False,False,True,True,False,False,True,60,9,3126601,50.123999999999995,0.5253333333333333,5.809333333333333
1007,True,True,False,False,True,True,False,False,True,60,5,3130974,38.05511111111112,0.5093333333333333,4.528666666666666
1008,True,False,False,False,True,False,False,True,False,60,9,3149124,41.84222222222222,0.524888888888889,4.680888888888889
1009,True,False,False,True,True,False,False,False,True,20,1,3620772,27.56222222222222,0.39555555555555555,3.176111111111111
101,True,False,False,False,False,False,True,False,False,40,5,4205066,41.31822222222221,0.4466666666666666,4.277555555555555
1010,True,False,False,True,False,True,False,False,False,60,9,3571769,51.95422222222223,0.5528888888888889,6.131111111111111
1011,True,True,False,True,True,True,False,False,False,20,1,3572968,25.932000000000002,0.4088888888888888,3.1495555555555557
1012,True,False,False,True,True,True,True,False,False,60,5,4881754,42.43555555555556,0.4271111111111111,4.377111111111112
1013,True,False,False,True,True,True,True,True,False,40,1,4919424,30.65377777777778,0.3555555555555555,2.8520000000000008
1014,True,False,False,True,True,True,True,False,False,60,1,4919424,30.626222222222218,0.3537777777777777,2.844
1015,True,True,False,True,True,True,False,False,False,20,9,3532260,48.65022222222222,0.48577777777777775,5.394222222222222
1016,True,True,False,True,True,True,False,False,False,20,5,3539253,36.765333333333324,0.4488888888888888,4.100555555555555
1017,True,True,False,True,False,False,False,True,False,60,1,3539370,26.543555555555557,0.47333333333333333,3.8201111111111112
1018,True,False,False,True,True,True,True,True,False,40,9,4908061,46.739999999999995,0.45511111111111113,4.434666666666668
1019,True,True,False,True,False,True,True,True,False,60,1,4827804,28.37688888888889,0.364,2.719666666666667
102,True,True,False,True,False,True,True,False,False,40,1,4827804,28.296444444444447,0.35422222222222216,2.691333333333333
1020,True,False,False,True,True,True,True,True,False,40,5,4906242,37.49777777777777,0.412,3.523888888888889
1021,True,False,False,True,True,True,True,False,False,60,9,4878410,55.295111111111105,0.5177777777777778,5.9833333333333325
1022,True,True,False,True,False,True,True,True,False,60,5,4818076,35.20355555555555,0.4053333333333333,3.349
1023,True,False,False,True,False,True,False,True,False,60,1,3596232,28.724888888888888,0.47911111111111115,3.8203333333333336
1024,True,True,False,True,False,True,True,True,False,60,9,4809517,44.46577777777778,0.45422222222222225,4.229777777777778
1025,True,False,False,True,False,False,True,False,True,20,9,4880464,52.75555555555556,0.4737777777777777,5.613000000000001
1026,True,True,False,False,True,True,False,True,False,60,1,3142869,27.312888888888885,0.45422222222222225,3.7829999999999995
1027,True,False,False,True,False,False,True,False,True,20,1,4921320,30.535555555555554,0.35200000000000004,2.850555555555556
1028,True,False,False,True,False,False,True,False,True,20,5,4890630,41.304,0.412,4.234666666666666
1029,True,True,False,False,True,True,False,True,False,60,9,3119676,43.080444444444446,0.5177777777777777,4.695222222222221
103,True,True,False,False,True,False,True,True,False,40,5,4233273,34.25733333333333,0.4391111111111111,3.251666666666667
1030,True,False,False,False,True,False,False,False,True,20,9,3133250,48.78666666666667,0.48133333333333334,5.459333333333334
1031,True,True,False,True,False,False,False,True,False,60,5,3523418,32.11422222222222,0.48444444444444446,3.9864444444444445
1032,True,True,False,True,True,True,False,True,True,40,9,3614882,42.36088888888889,0.46222222222222226,4.429222222222222
1033,True,False,False,False,True,False,False,False,True,20,5,3136177,37.90933333333333,0.4773333333333333,4.236111111111111
1034,True,True,False,False,True,True,False,True,False,60,5,3120886,33.92755555555556,0.504,4.079888888888889
1035,True,True,False,True,False,False,False,True,False,60,9,3517239,39.79422222222222,0.5013333333333334,4.543555555555556
1036,True,False,False,False,True,False,False,False,True,20,1,3162368,27.751111111111115,0.42399999999999993,3.1508888888888884
1037,True,False,False,True,False,True,False,True,False,60,9,3591610,44.86577777777777,0.5275555555555556,4.923777777777777
1038,True,True,False,True,True,True,False,False,True,60,5,3599361,37.55244444444445,0.5213333333333333,4.519333333333333
1039,True,True,False,True,True,True,False,True,True,40,1,3630937,26.48222222222222,0.46133333333333326,3.4996666666666663
104,True,False,False,False,False,False,True,False,False,40,1,4231791,30.543555555555557,0.3617777777777777,2.8351111111111105
1040,True,False,False,True,False,True,False,True,False,60,5,3599634,35.708,0.4973333333333334,4.229666666666666
1041,True,True,False,True,True,True,False,False,True,60,9,3590448,49.51511111111111,0.5257777777777779,5.741555555555554
1042,True,True,False,True,True,True,False,True,True,40,5,3621315,33.18711111111111,0.4795555555555555,3.775555555555556
1043,True,False,False,True,True,True,True,False,False,40,5,4881754,42.48622222222222,0.4395555555555555,4.400777777777777
1044,True,False,False,True,True,True,True,True,False,20,1,4919424,30.607555555555557,0.35999999999999993,2.8504444444444443
1045,True,True,False,True,True,True,False,False,False,40,1,3598392,26.40311111111111,0.43866666666666665,3.5140000000000002
1046,True,False,False,True,True,True,True,False,False,40,1,4919424,30.60977777777778,0.3582222222222222,2.831111111111111
1047,True,True,False,False,False,True,False,False,True,20,9,3054365,49.10177777777777,0.4991111111111111,5.32911111111111
1048,True,True,False,True,True,True,False,False,False,40,9,3556803,49.11333333333333,0.5399999999999999,5.6306666666666665
1049,True,True,False,True,True,True,False,True,False,20,5,3563959,32.72977777777778,0.4582222222222222,3.5091111111111113
105,True,True,False,True,False,True,True,False,False,40,5,4790302,39.67644444444444,0.4275555555555555,4.068555555555555
1050,True,True,False,False,False,True,False,False,True,20,5,3058038,37.17955555555555,0.4555555555555555,4.033222222222222
1051,True,True,False,True,True,True,False,True,False,20,1,3572968,25.91155555555555,0.4022222222222222,3.126666666666667
1052,True,True,False,True,True,True,False,False,False,40,5,3566243,37.18577777777779,0.492,4.383555555555556
1053,True,True,False,False,False,True,False,False,True,20,1,3086070,26.457777777777775,0.4377777777777777,3.1173333333333333
1054,True,False,False,True,False,False,True,False,True,40,1,4921320,30.480444444444444,0.3742222222222222,2.849333333333333
1055,True,False,False,True,True,True,True,True,False,20,9,4908061,46.69288888888889,0.4817777777777777,4.430666666666666
1056,True,False,False,True,True,True,True,False,False,40,9,4878410,55.352444444444444,0.4693333333333334,5.980333333333333
1057,True,False,False,True,True,True,True,True,False,20,5,4906242,37.51599999999999,0.4235555555555555,3.541888888888889
1058,True,False,False,True,False,False,True,True,True,20,9,4910524,44.32222222222222,0.4457777777777777,4.112333333333333
1059,True,False,False,True,False,False,True,False,True,40,5,4890630,41.251999999999995,0.45155555555555554,4.227222222222221
106,True,True,False,False,True,False,True,True,False,40,9,4235548,42.19688888888889,0.42977777777777776,3.946222222222223
1060,True,False,False,True,False,False,True,True,True,20,1,4921320,30.528888888888886,0.3622222222222222,2.8376666666666672
1061,True,True,False,False,True,True,False,True,False,40,1,3139521,26.88577777777778,0.43377777777777776,3.447777777777778
1062,True,True,False,False,True,True,False,False,False,60,5,3103750,38.08533333333333,0.5084444444444445,4.609111111111112
1063,True,False,False,True,False,False,True,False,True,40,9,4880464,52.733333333333334,0.4737777777777778,5.620222222222222
1064,True,False,False,True,False,False,True,True,True,20,5,4921008,36.407111111111114,0.4284444444444444,3.438555555555556
1065,True,True,False,False,True,True,False,False,False,60,1,3142869,27.35511111111111,0.4457777777777777,3.7744444444444443
1066,True,True,False,True,True,True,False,True,True,60,9,3618120,42.624444444444435,0.508,4.6335555555555565
1067,True,True,False,False,True,True,False,True,False,40,9,3116154,42.75955555555556,0.5008888888888889,4.543333333333333
1068,True,True,False,False,True,True,False,True,False,40,5,3118099,33.65777777777778,0.4928888888888889,3.8214444444444435
1069,True,True,False,True,True,True,False,True,False,20,9,3557365,41.85644444444444,0.47200000000000003,4.232444444444443
107,True,False,False,False,False,False,False,True,False,20,1,3104109,27.828444444444447,0.3871111111111111,3.188777777777778
1070,True,True,False,False,True,True,False,False,False,60,9,3102202,50.04888888888889,0.5448888888888889,5.869888888888889
1071,True,True,False,True,True,True,False,True,True,60,1,3633280,26.848,0.47822222222222227,3.799777777777778
1072,True,True,False,True,True,True,False,True,True,60,5,3625505,33.524,0.4715555555555555,4.028111111111111
1073,True,False,False,True,True,True,True,False,False,20,1,4919424,30.61822222222222,0.35688888888888887,2.8489999999999998
1074,True,False,False,False,True,False,False,True,True,20,9,3147322,40.94177777777778,0.43111111111111106,4.1065555555555555
1075,True,True,False,True,False,False,False,False,False,40,1,3536712,26.122666666666667,0.4275555555555555,3.4821111111111107
1076,True,False,False,False,True,True,True,False,False,60,9,4250830,55.79511111111111,0.4773333333333334,6.040222222222223
1077,True,False,False,True,False,False,True,True,False,60,9,4853029,44.369777777777784,0.44311111111111107,4.186111111111111
1078,True,False,False,False,True,True,True,True,False,40,5,4262609,37.53244444444445,0.43022222222222223,3.5197777777777777
1079,True,False,False,False,True,True,True,True,False,40,9,4266767,46.792,0.4795555555555555,4.415111111111111
108,True,True,False,True,False,True,True,False,False,40,9,4779404,52.211111111111116,0.4737777777777778,5.592666666666666
1080,True,False,False,True,False,False,True,False,True,60,1,4921320,30.553777777777775,0.36044444444444435,2.864666666666667
