configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,1670642,50.341454545454546,0.45454545454545453,3.8569090909090913
10,True,True,False,True,False,True,False,False,True,40,9,1813603,52.87236363636364,0.510909090909091,4.299090909090908
100,True,True,False,False,True,False,True,True,False,40,1,1989710,29.33781818181818,0.3127272727272727,2.238909090909091
1000,True,True,False,True,False,True,True,True,False,40,9,2044093,51.186181818181815,0.41636363636363627,3.783363636363637
1001,True,False,False,False,True,False,False,True,False,60,5,1795797,35.00654545454545,0.4454545454545454,3.244363636363637
1002,True,False,False,True,False,True,False,False,False,60,5,1918050,38.20472727272727,0.4709090909090909,3.460818181818182
1003,True,False,False,False,True,False,False,True,False,60,1,1802616,28.213090909090912,0.42109090909090907,3.022909090909091
1004,True,False,False,True,False,True,False,False,False,60,1,1910350,26.914181818181817,0.4327272727272727,2.987090909090909
1005,True,True,False,False,True,True,False,False,True,60,1,1795852,27.796363636363637,0.4032727272727273,2.9707272727272724
1006,True,True,False,False,True,True,False,False,True,60,9,1782646,55.92472727272729,0.5363636363636364,4.628272727272728
1007,True,True,False,False,True,True,False,False,True,60,5,1793208,39.36181818181817,0.47272727272727266,3.510909090909091
1008,True,False,False,False,True,False,False,True,False,60,9,1782672,47.12109090909091,0.47781818181818186,3.9486363636363637
1009,True,False,False,True,True,False,False,False,True,20,1,1825659,26.081090909090914,0.3592727272727272,2.343272727272727
101,True,False,False,False,False,False,True,False,False,40,5,1895987,39.24545454545454,0.3774545454545454,2.9985454545454546
1010,True,False,False,True,False,True,False,False,False,60,9,1904222,54.39272727272728,0.5381818181818182,4.555545454545454
1011,True,True,False,True,True,True,False,False,False,20,1,1819236,25.492727272727276,0.3654545454545454,2.323090909090909
1012,True,False,False,True,True,True,True,False,False,60,5,2312407,43.04363636363637,0.4101818181818182,3.280545454545454
1013,True,False,False,True,True,True,True,True,False,40,1,2360273,29.912363636363636,0.3269090909090909,2.2994545454545454
1014,True,False,False,True,True,True,True,False,False,60,1,2360273,29.967999999999996,0.3236363636363636,2.301454545454545
1015,True,True,False,True,True,True,False,False,False,20,9,1791068,53.05600000000001,0.49963636363636366,4.183181818181819
1016,True,True,False,True,True,True,False,False,False,20,5,1808934,36.85018181818182,0.4396363636363636,3.0292727272727267
1017,True,True,False,True,False,False,False,True,False,60,1,1839231,25.83054545454545,0.42036363636363633,2.986545454545455
1018,True,False,False,True,True,True,True,True,False,40,9,2302413,54.611272727272734,0.3952727272727273,4.038545454545454
1019,True,True,False,True,False,True,True,True,False,60,1,2028649,26.673818181818184,0.31709090909090915,2.1099090909090905
102,True,True,False,True,False,True,True,False,False,40,1,2028649,26.66290909090909,0.3229090909090909,2.1039999999999996
1020,True,False,False,True,True,True,True,True,False,40,5,2316896,39.293454545454544,0.37490909090909086,2.971181818181819
1021,True,False,False,True,True,True,True,False,False,60,9,2296733,62.13963636363637,0.4483636363636363,4.6454545454545455
1022,True,True,False,True,False,True,True,True,False,60,5,2047082,36.22327272727272,0.3596363636363636,2.780636363636363
1023,True,False,False,True,False,True,False,True,False,60,1,1910350,26.90545454545455,0.42618181818181816,2.968454545454546
1024,True,True,False,True,False,True,True,True,False,60,9,2044093,51.20618181818181,0.4098181818181818,3.7805454545454538
1025,True,False,False,True,False,False,True,False,True,20,9,2028442,52.46472727272726,0.4323636363636364,3.9630000000000005
1026,True,True,False,False,True,True,False,True,False,60,1,1795852,27.83272727272727,0.4261818181818182,3.013818181818182
1027,True,False,False,True,False,False,True,False,True,20,1,2086045,27.98218181818181,0.31490909090909086,2.182454545454546
1028,True,False,False,True,False,False,True,False,True,20,5,2048977,37.68109090909092,0.37090909090909085,2.9073636363636366
1029,True,True,False,False,True,True,False,True,False,60,9,1798940,51.27672727272727,0.46509090909090917,4.19
103,True,True,False,False,True,False,True,True,False,40,5,1960270,36.94509090909091,0.37454545454545457,2.818909090909091
1030,True,False,False,False,True,False,False,False,True,20,9,1640883,49.436363636363645,0.46836363636363637,3.9462727272727265
1031,True,True,False,True,False,False,False,True,False,60,5,1828493,32.745090909090905,0.45745454545454545,3.186363636363637
1032,True,True,False,True,True,True,False,True,True,40,9,1916291,49.329454545454546,0.4730909090909092,3.939090909090909
1033,True,False,False,False,True,False,False,False,True,20,5,1653845,36.032363636363634,0.4403636363636363,2.9596363636363634
1034,True,True,False,False,True,True,False,True,False,60,5,1807224,36.853818181818184,0.4516363636363637,3.3310000000000004
1035,True,True,False,True,False,False,False,True,False,60,9,1812834,44.59781818181818,0.48581818181818176,3.8211818181818185
1036,True,False,False,False,True,False,False,False,True,20,1,1663164,27.039272727272728,0.34472727272727266,2.350909090909091
1037,True,False,False,True,False,True,False,True,False,60,9,1925648,50.22109090909091,0.49090909090909096,4.142272727272727
1038,True,True,False,True,True,True,False,False,True,60,5,1950946,37.844,0.47781818181818186,3.4249090909090913
1039,True,True,False,True,True,True,False,True,True,40,1,1928638,26.05454545454545,0.38799999999999996,2.6438181818181814
104,True,False,False,False,False,False,True,False,False,40,1,1901257,29.235636363636367,0.2949090909090909,2.2429090909090914
1040,True,False,False,True,False,True,False,True,False,60,5,1935855,35.98981818181818,0.46545454545454545,3.2829999999999995
1041,True,True,False,True,True,True,False,False,True,60,9,1933531,54.22836363636363,0.5323636363636365,4.534545454545455
1042,True,True,False,True,True,True,False,True,True,40,5,1930335,34.95454545454545,0.42799999999999994,3.0181818181818185
1043,True,False,False,True,True,True,True,False,False,40,5,2312407,43.01745454545455,0.4043636363636364,3.287272727272727
1044,True,False,False,True,True,True,True,True,False,20,1,2360273,29.946545454545458,0.31672727272727275,2.2967272727272725
1045,True,True,False,True,True,True,False,False,False,40,1,1928638,26.055999999999997,0.3861818181818181,2.657636363636364
1046,True,False,False,True,True,True,True,False,False,40,1,2360273,29.980000000000004,0.3014545454545454,2.2914545454545454
1047,True,True,False,False,False,True,False,False,True,20,9,1594187,53.94509090909091,0.47490909090909095,4.197363636363637
1048,True,True,False,True,True,True,False,False,False,40,9,1894264,53.7450909090909,0.48872727272727284,4.358909090909091
1049,True,True,False,True,True,True,False,True,False,20,5,1825165,34.528363636363636,0.41890909090909095,2.8119090909090905
105,True,True,False,True,False,True,True,False,False,40,5,2030467,39.03454545454545,0.4098181818181818,3.0253636363636365
1050,True,True,False,False,False,True,False,False,True,20,5,1600056,37.817454545454545,0.436,3.0599090909090907
1051,True,True,False,True,True,True,False,True,False,20,1,1819236,25.479272727272726,0.36218181818181816,2.321181818181818
1052,True,True,False,True,True,True,False,False,False,40,5,1907902,37.462181818181826,0.47200000000000003,3.2613636363636362
