configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,371148,1.732,0.045599999999999995,0.3954
10,True,True,False,True,False,True,False,False,True,40,9,399478,2.1016,0.0472,0.5016
100,True,True,False,False,True,False,True,True,False,40,1,358239,1.2584,0.0344,0.23420000000000002
1000,True,True,False,True,False,True,True,True,False,40,9,380169,1.7048,0.038400000000000004,0.325
1001,True,False,False,False,True,False,False,True,False,60,5,396303,1.5759999999999998,0.05519999999999999,0.4058
1002,True,False,False,True,False,True,False,False,False,60,5,419404,1.7784,0.0624,0.484
1003,True,False,False,False,True,False,False,True,False,60,1,405594,1.392,0.0496,0.3658
1004,True,False,False,True,False,True,False,False,False,60,1,430268,1.5032,0.0496,0.4112
1005,True,True,False,False,True,True,False,False,True,60,1,384044,1.3392,0.059199999999999996,0.3512
1006,True,True,False,False,True,True,False,False,True,60,9,367175,2.0232,0.05840000000000001,0.4962
1007,True,True,False,False,True,True,False,False,True,60,5,371069,1.6600000000000001,0.0632,0.4332
1008,True,False,False,False,True,False,False,True,False,60,9,394263,1.8200000000000003,0.05519999999999999,0.4408
1009,True,False,False,True,True,False,False,False,True,20,1,425672,1.3792,0.0392,0.305
101,True,False,False,False,False,False,True,False,False,40,5,363318,1.6792000000000002,0.044,0.33659999999999995
1010,True,False,False,True,False,True,False,False,False,60,9,415124,2.1528,0.0528,0.5298
1011,True,True,False,True,True,True,False,False,False,20,1,413173,1.3296,0.029599999999999998,0.294
1012,True,False,False,True,True,True,True,False,False,60,5,392304,1.732,0.0344,0.368
1013,True,False,False,True,True,True,True,True,False,40,1,402053,1.3328,0.036000000000000004,0.26799999999999996
1014,True,False,False,True,True,True,True,False,False,60,1,402053,1.3592,0.0264,0.2658
1015,True,True,False,True,True,True,False,False,False,20,9,398277,2.0328000000000004,0.04240000000000001,0.43360000000000004
1016,True,True,False,True,True,True,False,False,False,20,5,402265,1.6247999999999998,0.0504,0.3602
1017,True,True,False,True,False,False,False,True,False,60,1,415839,1.3624,0.0528,0.37
1018,True,False,False,True,True,True,True,True,False,40,9,395070,1.8168,0.039999999999999994,0.359
1019,True,True,False,True,False,True,True,True,False,60,1,386171,1.2296,0.0256,0.242
102,True,True,False,True,False,True,True,False,False,40,1,386171,1.2328000000000001,0.0344,0.24359999999999998
1020,True,False,False,True,True,True,True,True,False,40,5,397962,1.5639999999999998,0.0392,0.31379999999999997
1021,True,False,False,True,True,True,True,False,False,60,9,387146,2.076,0.044,0.4232
1022,True,True,False,True,False,True,True,True,False,60,5,382606,1.468,0.0376,0.29400000000000004
1023,True,False,False,True,False,True,False,True,False,60,1,430268,1.4768000000000001,0.054400000000000004,0.4056
