configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,42417,1.080,0.024,0.562
10,true,true,false,true,false,true,false,false,true,40,9,47381,1.168,0.028,0.398
100,true,true,false,false,true,false,true,true,false,40,1,55228,0.644,0.032,0.198
1000,true,true,false,true,false,true,true,true,false,40,9,58565,1.100,0.024,0.336
1001,true,false,false,false,true,false,false,true,false,60,5,47985,0.780,0.020,0.246
1002,true,false,false,true,false,true,false,false,false,60,5,50477,0.936,0.044,0.335
1003,true,false,false,false,true,false,false,true,false,60,1,47568,0.636,0.036,0.207
1004,true,false,false,true,false,true,false,false,false,60,1,50701,0.668,0.032,0.224
1005,true,true,false,false,true,true,false,false,true,60,1,47555,0.608,0.048,0.204
1006,true,true,false,false,true,true,false,false,true,60,9,46766,1.128,0.048,0.381
1007,true,true,false,false,true,true,false,false,true,60,5,46786,0.892,0.032,0.291
1008,true,false,false,false,true,false,false,true,false,60,9,48209,0.908,0.060,0.295
1009,true,false,false,true,true,false,false,false,true,20,1,44015,0.620,0.036,0.191
101,true,false,false,false,false,false,true,false,false,40,5,55487,0.880,0.024,0.263
1010,true,false,false,true,false,true,false,false,false,60,9,50021,1.212,0.028,0.484
1011,true,true,false,true,true,true,false,false,false,20,1,43267,0.592,0.048,0.193
1012,true,false,false,true,true,true,true,false,false,60,5,59722,0.952,0.028,0.308
1013,true,false,false,true,true,true,true,true,false,40,1,59910,0.696,0.024,0.212
1014,true,false,false,true,true,true,true,false,false,60,1,59910,0.676,0.032,0.208
1015,true,true,false,true,true,true,false,false,false,20,9,42998,1.148,0.012,0.372
1016,true,true,false,true,true,true,false,false,false,20,5,43205,0.884,0.056,0.286
1017,true,true,false,true,false,false,false,true,false,60,1,49079,0.680,0.016,0.222
1018,true,false,false,true,true,true,true,true,false,40,9,60417,1.120,0.028,0.342
1019,true,true,false,true,false,true,true,true,false,60,1,57788,0.688,0.028,0.208
102,true,true,false,true,false,true,true,false,false,40,1,57788,0.696,0.024,0.209
1020,true,false,false,true,true,true,true,true,false,40,5,59976,0.876,0.028,0.271
1021,true,false,false,true,true,true,true,false,false,60,9,59343,1.236,0.028,0.388
1022,true,true,false,true,false,true,true,true,false,60,5,58313,0.888,0.024,0.275
1023,true,false,false,true,false,true,false,true,false,60,1,50701,0.664,0.044,0.229
1024,true,true,false,true,false,true,true,true,false,60,9,58565,1.088,0.024,0.336
1025,true,false,false,true,false,false,true,false,true,20,9,59532,1.060,0.032,0.329
1026,true,true,false,false,true,true,false,true,false,60,1,47212,0.636,0.028,0.207
1027,true,false,false,true,false,false,true,false,true,20,1,59994,0.680,0.044,0.209
1028,true,false,false,true,false,false,true,false,true,20,5,60001,0.888,0.028,0.276
1029,true,true,false,false,true,true,false,true,false,60,9,47795,1.036,0.052,0.333
103,true,true,false,false,true,false,true,true,false,40,5,55704,0.824,0.016,0.243
1030,true,false,false,false,true,false,false,false,true,20,9,41820,0.940,0.052,0.297
1031,true,true,false,true,false,false,false,true,false,60,5,49758,0.804,0.040,0.264
1032,true,true,false,true,true,true,false,true,true,40,9,48301,1.044,0.032,0.333
1033,true,false,false,false,true,false,false,false,true,20,5,41758,0.784,0.028,0.243
1034,true,true,false,false,true,true,false,true,false,60,5,47509,0.852,0.040,0.275
1035,true,true,false,true,false,false,false,true,false,60,9,49485,0.936,0.060,0.300
1036,true,false,false,false,true,false,false,false,true,20,1,41598,0.612,0.036,0.188
1037,true,false,false,true,false,true,false,true,false,60,9,51060,1.084,0.036,0.363
1038,true,true,false,true,true,true,false,false,true,60,5,49714,0.868,0.068,0.310
1039,true,true,false,true,true,true,false,true,true,40,1,47879,0.632,0.032,0.199
104,true,false,false,false,false,false,true,false,false,40,1,55161,0.672,0.028,0.203
1040,true,false,false,true,false,true,false,true,false,60,5,51170,0.876,0.028,0.295
1041,true,true,false,true,true,true,false,false,true,60,9,49271,1.132,0.056,0.398
1042,true,true,false,true,true,true,false,true,true,40,5,48263,0.852,0.024,0.270
1043,true,false,false,true,true,true,true,false,false,40,5,59722,0.944,0.032,0.307
1044,true,false,false,true,true,true,true,true,false,20,1,59910,0.700,0.024,0.210
1045,true,true,false,true,true,true,false,false,false,40,1,47759,0.616,0.052,0.204
1046,true,false,false,true,true,true,true,false,false,40,1,59910,0.708,0.024,0.212
1047,true,true,false,false,false,true,false,false,true,20,9,41393,1.188,0.032,0.370
1048,true,true,false,true,true,true,false,false,false,40,9,47368,1.152,0.040,0.384
1049,true,true,false,true,true,true,false,true,false,20,5,43852,0.840,0.040,0.264
105,true,true,false,true,false,true,true,false,false,40,5,57306,0.932,0.040,0.303
1050,true,true,false,false,false,true,false,false,true,20,5,41349,0.892,0.024,0.282
1051,true,true,false,true,true,true,false,true,false,20,1,43267,0.624,0.016,0.192
1052,true,true,false,true,true,true,false,false,false,40,5,47312,0.880,0.028,0.297
1053,true,true,false,false,false,true,false,false,true,20,1,41158,0.620,0.020,0.185
1054,true,false,false,true,false,false,true,false,true,40,1,59994,0.680,0.044,0.207
1055,true,false,false,true,true,true,true,true,false,20,9,60417,1.092,0.044,0.340
1056,true,false,false,true,true,true,true,false,false,40,9,59343,1.196,0.036,0.394
1057,true,false,false,true,true,true,true,true,false,20,5,59976,0.904,0.032,0.280
1058,true,false,false,true,false,false,true,true,true,20,9,60868,0.988,0.024,0.300
1059,true,false,false,true,false,false,true,false,true,40,5,60001,0.872,0.028,0.276
106,true,true,false,false,true,false,true,true,false,40,9,55825,0.956,0.044,0.291
1060,true,false,false,true,false,false,true,true,true,20,1,59994,0.688,0.048,0.209
1061,true,true,false,false,true,true,false,true,false,40,1,45793,0.640,0.028,0.197
1062,true,true,false,false,true,true,false,false,false,60,5,47006,0.888,0.036,0.302
1063,true,false,false,true,false,false,true,false,true,40,9,59532,1.056,0.036,0.327
1064,true,false,false,true,false,false,true,true,true,20,5,60820,0.808,0.020,0.248
1065,true,true,false,false,true,true,false,false,false,60,1,47212,0.644,0.036,0.202
1066,true,true,false,true,true,true,false,true,true,60,9,50309,1.040,0.060,0.338
1067,true,true,false,false,true,true,false,true,false,40,9,46300,1.060,0.024,0.320
1068,true,true,false,false,true,true,false,true,false,40,5,45840,0.840,0.036,0.259
1069,true,true,false,true,true,true,false,true,false,20,9,43503,1.028,0.048,0.321
107,true,false,false,false,false,false,false,true,false,20,1,41660,0.652,0.012,0.195
1070,true,true,false,false,true,true,false,false,false,60,9,46765,1.176,0.040,0.385
1071,true,true,false,true,true,true,false,true,true,60,1,50035,0.644,0.032,0.213
1072,true,true,false,true,true,true,false,true,true,60,5,50222,0.864,0.032,0.274
1073,true,false,false,true,true,true,true,false,false,20,1,59910,0.688,0.032,0.215
1074,true,false,false,false,true,false,false,true,true,20,9,42748,0.904,0.028,0.265
1075,true,true,false,true,false,false,false,false,false,40,1,47310,0.644,0.032,0.207
1076,true,false,false,false,true,true,true,false,false,60,9,55270,1.180,0.048,0.376
1077,true,false,false,true,false,false,true,true,false,60,9,59853,1.004,0.036,0.303
1078,true,false,false,false,true,true,true,true,false,40,5,56627,0.860,0.052,0.263
1079,true,false,false,false,true,true,true,true,false,40,9,56932,1.084,0.040,0.328
108,true,true,false,true,false,true,true,false,false,40,9,57490,1.184,0.036,0.393
1080,true,false,false,true,false,false,true,false,true,60,1,59994,0.680,0.032,0.211
