configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,1163468,4.696,0.064,0.945
10,true,true,false,true,false,true,false,false,true,40,9,1254093,6.048,0.088,1.005
100,true,true,false,false,true,false,true,true,false,40,1,944641,3.128,0.044,0.416
1000,true,true,false,true,false,true,true,true,false,40,9,1031330,4.280,0.048,0.574
1001,true,false,false,false,true,false,false,true,false,60,5,1183675,4.124,0.064,0.642
1002,true,false,false,true,false,true,false,false,false,60,5,1292745,4.944,0.068,0.854
1003,true,false,false,false,true,false,false,true,false,60,1,1182109,3.712,0.080,0.630
1004,true,false,false,true,false,true,false,false,false,60,1,1301949,3.584,0.076,0.619
1005,true,true,false,false,true,true,false,false,true,60,1,1164767,3.288,0.096,0.557
1006,true,true,false,false,true,true,false,false,true,60,9,1148199,6.140,0.072,1.050
1007,true,true,false,false,true,true,false,false,true,60,5,1152511,4.636,0.108,0.787
1008,true,false,false,false,true,false,false,true,false,60,9,1183291,4.876,0.072,0.765
1009,true,false,false,true,true,false,false,false,true,20,1,1301927,3.612,0.072,0.552
101,true,false,false,false,false,false,true,false,false,40,5,942897,4.708,0.088,0.727
1010,true,false,false,true,false,true,false,false,false,60,9,1286941,6.312,0.060,1.077
1011,true,true,false,true,true,true,false,false,false,20,1,1270606,3.276,0.072,0.482
1012,true,false,false,true,true,true,true,false,false,60,5,1056843,4.672,0.088,0.716
1013,true,false,false,true,true,true,true,true,false,40,1,1067254,3.460,0.032,0.481
1014,true,false,false,true,true,true,true,false,false,60,1,1067254,3.268,0.048,0.439
1015,true,true,false,true,true,true,false,false,false,20,9,1256636,6.076,0.060,0.950
1016,true,true,false,true,true,true,false,false,false,20,5,1262201,4.616,0.064,0.727
1017,true,true,false,true,false,false,false,true,false,60,1,1266163,3.304,0.080,0.566
1018,true,false,false,true,true,true,true,true,false,40,9,1064416,4.804,0.060,0.680
1019,true,true,false,true,false,true,true,true,false,60,1,1031551,3.200,0.044,0.460
102,true,true,false,true,false,true,true,false,false,40,1,1031551,2.984,0.048,0.398
1020,true,false,false,true,true,true,true,true,false,40,5,1065746,3.872,0.040,0.528
1021,true,false,false,true,true,true,true,false,false,60,9,1051673,6.064,0.040,0.941
1022,true,true,false,true,false,true,true,true,false,60,5,1032567,3.628,0.044,0.498
1023,true,false,false,true,false,true,false,true,false,60,1,1301949,3.736,0.092,0.638
1024,true,true,false,true,false,true,true,true,false,60,9,1031330,4.368,0.056,0.603
1025,true,false,false,true,false,false,true,false,true,20,9,1042806,5.812,0.064,0.905
1026,true,true,false,false,true,true,false,true,false,60,1,1165371,3.368,0.056,0.557
1027,true,false,false,true,false,false,true,false,true,20,1,1057263,3.224,0.072,0.460
