configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,1002228.0,5.967466666666667,0.07053333333333336,1.37
10,True,True,False,True,False,True,False,False,True,40,9,1100535.0,8.058666666666666,0.08040000000000003,1.766
100,True,True,False,False,True,False,True,True,False,40,1,845147.0,4.402799999999999,0.057466666666666694,0.754
1000,True,True,False,True,False,True,True,True,False,40,9,831677.0,6.038399999999999,0.0630666666666667,1.094
1001,True,False,False,False,True,False,False,True,False,60,5,1128537.0,5.410666666666665,0.08160000000000005,1.153
1002,True,False,False,True,False,True,False,False,False,60,5,1184301.0,6.507333333333334,0.08413333333333338,1.5119999999999998
1003,True,False,False,False,True,False,False,True,False,60,1,1233324.0,4.855066666666667,0.0646666666666667,1.038
1004,True,False,False,True,False,True,False,False,False,60,1,1343298.0,5.081599999999999,0.07706666666666669,1.1420000000000001
1005,True,True,False,False,True,True,False,False,True,60,1,1193263.0,4.585866666666666,0.06773333333333337,0.975
1006,True,True,False,False,True,True,False,False,True,60,9,1025250.0,7.897866666666664,0.08026666666666671,1.725
1007,True,True,False,False,True,True,False,False,True,60,5,1058149.0,6.111333333333333,0.07800000000000004,1.344
1008,True,False,False,False,True,False,False,True,False,60,9,1109939.0,6.229466666666666,0.08480000000000004,1.298
1009,True,False,False,True,True,False,False,False,True,20,1,1263355.0,4.951600000000001,0.07093333333333336,1.0290000000000001
101,True,False,False,False,False,False,True,False,False,40,5,773777.0,6.253333333333333,0.06240000000000003,1.194
1010,True,False,False,True,False,True,False,False,False,60,9,1139759.0,8.2416,0.08813333333333338,1.879
1011,True,True,False,True,True,True,False,False,False,20,1,1235893.0,4.758399999999999,0.06253333333333336,0.978
1012,True,False,False,True,True,True,True,False,False,60,5,842426.0,6.330933333333335,0.06533333333333337,1.253
1013,True,False,False,True,True,True,True,True,False,40,1,968668.0,4.7446666666666655,0.05960000000000003,0.87
1014,True,False,False,True,True,True,True,False,False,60,1,968668.0,4.744266666666666,0.05746666666666669,0.871
1015,True,True,False,True,True,True,False,False,False,20,9,1047241.0,7.971733333333332,0.07573333333333337,1.6969999999999998
1016,True,True,False,True,True,True,False,False,False,20,5,1087043.0,6.2176,0.07080000000000002,1.334
1017,True,True,False,True,False,False,False,True,False,60,1,1313614.0,4.8675999999999995,0.07773333333333336,1.092
1018,True,False,False,True,True,True,True,True,False,40,9,855432.0,6.227733333333334,0.0658666666666667,1.125
1019,True,True,False,True,False,True,True,True,False,60,1,938376.0,4.565066666666667,0.057333333333333354,0.828
102,True,True,False,True,False,True,True,False,False,40,1,938376.0,4.563066666666668,0.053333333333333365,0.826
1020,True,False,False,True,True,True,True,True,False,40,5,872225.0,5.379866666666666,0.061200000000000025,0.988
1021,True,False,False,True,True,True,True,False,False,60,9,815964.0,8.161466666666668,0.06973333333333337,1.614
1022,True,True,False,True,False,True,True,True,False,60,5,848157.0,5.201066666666666,0.062266666666666706,0.9570000000000001
1023,True,False,False,True,False,True,False,True,False,60,1,1343298.0,5.073600000000001,0.07746666666666671,1.151
