configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,24531964.0,308.84,0.8640000000000001,27.448
10,True,True,False,True,False,True,False,False,True,40,9,27292263.0,363.584,0.96,32.801
100,True,True,False,False,True,False,True,True,False,40,1,24330043.0,174.048,0.564,15.140999999999998
1000,True,True,False,True,False,True,True,True,False,40,9,26413579.0,299.028,0.696,25.933000000000003
1001,True,False,False,False,True,False,False,True,False,60,5,25474890.0,234.636,0.8240000000000001,21.42
1002,True,False,False,True,False,True,False,False,False,60,5,28798204.0,267.70799999999997,0.772,24.37
1003,True,False,False,False,True,False,False,True,False,60,1,25939700.0,187.128,0.664,17.41
1004,True,False,False,True,False,True,False,False,False,60,1,29713255.0,181.38400000000001,0.644,17.271
1005,True,True,False,False,True,True,False,False,True,60,1,25574626.0,178.392,0.612,16.76
1006,True,True,False,False,True,True,False,False,True,60,9,24384487.0,377.652,0.8240000000000001,34.117
1007,True,True,False,False,True,True,False,False,True,60,5,24602641.0,261.82,0.856,23.88
1008,True,False,False,False,True,False,False,True,False,60,9,25357245.0,312.944,0.7759999999999999,28.301
1009,True,False,False,True,True,False,False,False,True,20,1,30384851.0,181.676,0.636,16.104
101,True,False,False,False,False,False,True,False,False,40,5,23238653.0,258.468,0.7559999999999999,22.698
1010,True,False,False,True,False,True,False,False,False,60,9,28499213.0,383.78,1.012,34.979
1011,True,True,False,True,True,True,False,False,False,20,1,29542263.0,173.11599999999999,0.6759999999999999,15.448
1012,True,False,False,True,True,True,True,False,False,60,5,28289629.0,269.932,0.7559999999999999,23.639
1013,True,False,False,True,True,True,True,True,False,40,1,29364577.0,182.7,0.6,15.835999999999999
1014,True,False,False,True,True,True,True,False,False,60,1,29364577.0,182.328,0.5920000000000001,15.807
1015,True,True,False,True,True,True,False,False,False,20,9,28111971.0,375.376,0.764,33.505
1016,True,True,False,True,True,True,False,False,False,20,5,28419732.0,260.08799999999997,0.7879999999999999,23.064
1017,True,True,False,True,False,False,False,True,False,60,1,28630103.0,173.06400000000002,0.536,16.364
1018,True,False,False,True,True,True,True,True,False,40,9,28471626.0,317.952,0.716,27.644000000000002
1019,True,True,False,True,False,True,True,True,False,60,1,27312645.0,166.21200000000002,0.5760000000000001,14.503
102,True,True,False,True,False,True,True,False,False,40,1,27312645.0,164.66400000000002,0.452,14.272
1020,True,False,False,True,True,True,True,True,False,40,5,28667175.0,234.04,0.7759999999999999,20.379
1021,True,False,False,True,True,True,True,False,False,60,9,28029385.0,388.81199999999995,0.74,34.077
