configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,1163468.0,4.7096,0.0624,0.945
10,True,True,False,True,False,True,False,False,True,40,9,1254093.0,6.0144,0.08000000000000002,1.005
100,True,True,False,False,True,False,True,True,False,40,1,944641.0,3.1111999999999997,0.0536,0.41600000000000004
1000,True,True,False,True,False,True,True,True,False,40,9,1031330.0,4.4048,0.05519999999999999,0.574
1001,True,False,False,False,True,False,False,True,False,60,5,1183675.0,4.1536,0.07920000000000002,0.642
1002,True,False,False,True,False,True,False,False,False,60,5,1292745.0,5.0008,0.0832,0.8540000000000001
1003,True,False,False,False,True,False,False,True,False,60,1,1182109.0,3.6752000000000002,0.0752,0.63
1004,True,False,False,True,False,True,False,False,False,60,1,1301949.0,3.6287999999999996,0.09119999999999999,0.619
1005,True,True,False,False,True,True,False,False,True,60,1,1164767.0,3.3712000000000004,0.0672,0.557
1006,True,True,False,False,True,True,False,False,True,60,9,1148199.0,6.120800000000001,0.0744,1.05
1007,True,True,False,False,True,True,False,False,True,60,5,1152511.0,4.7048000000000005,0.0968,0.787
1008,True,False,False,False,True,False,False,True,False,60,9,1183291.0,4.9088,0.0824,0.765
1009,True,False,False,True,True,False,False,False,True,20,1,1301927.0,3.5704000000000002,0.05920000000000001,0.552
101,True,False,False,False,False,False,True,False,False,40,5,942897.0,4.708800000000001,0.07120000000000001,0.727
1010,True,False,False,True,False,True,False,False,False,60,9,1286941.0,6.1896,0.08080000000000001,1.077
1011,True,True,False,True,True,True,False,False,False,20,1,1270606.0,3.2656,0.068,0.48200000000000004
1012,True,False,False,True,True,True,True,False,False,60,5,1056843.0,4.732799999999999,0.0648,0.716
1013,True,False,False,True,True,True,True,True,False,40,1,1067254.0,3.3624,0.0456,0.48100000000000004
1014,True,False,False,True,True,True,True,False,False,60,1,1067254.0,3.3344,0.044,0.439
1015,True,True,False,True,True,True,False,False,False,20,9,1256636.0,5.9936,0.08,0.95
