configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,27427530.0,155.99733333333333,0.5506666666666667,11.36
10,True,True,False,True,False,True,False,False,True,40,9,31418498.0,247.93733333333333,0.636,17.666
100,True,True,False,False,True,False,True,True,False,40,1,26696150.0,76.80000000000001,0.39066666666666666,5.542999999999999
1000,True,True,False,True,False,True,True,True,False,40,9,30128532.0,150.13066666666666,0.508,10.529000000000002
1001,True,False,False,False,True,False,False,True,False,60,5,26265131.0,121.34666666666665,0.5666666666666667,9.485
1002,True,False,False,True,False,True,False,False,False,60,5,32021730.0,175.44666666666663,0.5746666666666667,12.988
1003,True,False,False,False,True,False,False,True,False,60,1,26353209.0,84.70800000000001,0.5266666666666667,7.321000000000001
1004,True,False,False,True,False,True,False,False,False,60,1,32389415.0,85.65333333333335,0.48266666666666663,7.518
1005,True,True,False,False,True,True,False,False,True,60,1,28066737.0,78.32533333333333,0.552,7.212999999999999
1006,True,True,False,False,True,True,False,False,True,60,9,27329022.0,253.29600000000002,0.5973333333333334,18.142
1007,True,True,False,False,True,True,False,False,True,60,5,27653786.0,169.17333333333335,0.5733333333333334,12.5
1008,True,False,False,False,True,False,False,True,False,60,9,26111507.0,162.31866666666667,0.5666666666666668,12.073
1009,True,False,False,True,True,False,False,False,True,20,1,32760138.0,84.35733333333333,0.4266666666666667,6.369
101,True,False,False,False,False,False,True,False,False,40,5,24630393.0,176.18266666666668,0.46666666666666673,12.261
1010,True,False,False,True,False,True,False,False,False,60,9,31743790.0,256.6906666666667,0.6186666666666666,18.230999999999998
1011,True,True,False,True,True,True,False,False,False,20,1,33227001.0,77.40933333333334,0.424,6.082000000000001
1012,True,False,False,True,True,True,True,False,False,60,5,30981003.0,176.12533333333332,0.492,12.0
1013,True,False,False,True,True,True,True,True,False,40,1,31190717.0,83.00133333333333,0.4093333333333333,5.93
1014,True,False,False,True,True,True,True,False,False,60,1,31190717.0,83.03466666666667,0.37733333333333335,5.897
1015,True,True,False,True,True,True,False,False,False,20,9,32429043.0,251.28133333333332,0.49866666666666665,17.430999999999997
1016,True,True,False,True,True,True,False,False,False,20,5,32781025.0,168.01333333333335,0.508,11.787
1017,True,True,False,True,False,False,False,True,False,60,1,32581085.0,78.53066666666666,0.5133333333333333,7.144
1018,True,False,False,True,True,True,True,True,False,40,9,30872778.0,158.83333333333334,0.49733333333333335,10.802999999999999
1019,True,True,False,True,False,True,True,True,False,60,1,30958082.0,76.51733333333333,0.408,5.575
102,True,True,False,True,False,True,True,False,False,40,1,30958082.0,76.40666666666665,0.40399999999999997,5.507000000000001
1020,True,False,False,True,True,True,True,True,False,40,5,31065034.0,119.36933333333332,0.4506666666666666,8.265
1021,True,False,False,True,True,True,True,False,False,60,9,30775356.0,258.3253333333334,0.5,17.665
1022,True,True,False,True,False,True,True,True,False,60,5,30495529.0,111.59866666666666,0.452,7.687
1023,True,False,False,True,False,True,False,True,False,60,1,32389415.0,85.67866666666667,0.5013333333333333,7.496
1024,True,True,False,True,False,True,True,True,False,60,9,30128532.0,150.14133333333334,0.47333333333333333,10.44
1025,True,False,False,True,False,False,True,False,True,20,9,30166680.0,256.032,0.48666666666666664,17.559
1026,True,True,False,False,True,True,False,True,False,60,1,28113158.0,78.38666666666666,0.48666666666666664,7.131
1027,True,False,False,True,False,False,True,False,True,20,1,30777930.0,83.63866666666667,0.3826666666666667,5.981
1028,True,False,False,True,False,False,True,False,True,20,5,30427966.0,175.27733333333333,0.4613333333333333,12.270999999999999
1029,True,True,False,False,True,True,False,True,False,60,9,27473200.0,156.11733333333333,0.6226666666666666,11.741
103,True,True,False,False,True,False,True,True,False,40,5,26387055.0,114.296,0.45199999999999996,7.871
1030,True,False,False,False,True,False,False,False,True,20,9,26244344.0,259.676,0.5306666666666667,17.927
1031,True,True,False,True,False,False,False,True,False,60,5,32126770.0,111.96666666666665,0.54,8.785
1032,True,True,False,True,True,True,False,True,True,40,9,32517913.0,152.708,0.6106666666666666,11.16
1033,True,False,False,False,True,False,False,False,True,20,5,26324621.0,176.35466666666665,0.49466666666666664,12.331
1034,True,True,False,False,True,True,False,True,False,60,5,27799439.0,114.48666666666668,0.548,9.199
1035,True,True,False,True,False,False,False,True,False,60,9,31758541.0,151.75466666666668,0.6173333333333334,11.424000000000001
1036,True,False,False,False,True,False,False,False,True,20,1,26311187.0,83.96533333333333,0.42133333333333334,6.305
1037,True,False,False,True,False,True,False,True,False,60,9,31903778.0,159.976,0.5720000000000001,11.69
1038,True,True,False,True,True,True,False,False,True,60,5,32725509.0,168.22933333333336,0.5680000000000001,12.363
1039,True,True,False,True,True,True,False,True,True,40,1,33175497.0,77.48799999999999,0.4666666666666666,6.511
104,True,False,False,False,False,False,True,False,False,40,1,24710459.0,83.58533333333334,0.3706666666666667,5.999
1040,True,False,False,True,False,True,False,True,False,60,5,32145522.0,120.38666666666667,0.48933333333333334,9.455
1041,True,True,False,True,True,True,False,False,True,60,9,32369970.0,251.46400000000003,0.596,18.077
1042,True,True,False,True,True,True,False,True,True,40,5,32853193.0,112.19466666666666,0.52,8.4
1043,True,False,False,True,True,True,True,False,False,40,5,30981003.0,175.948,0.476,12.192
1044,True,False,False,True,True,True,True,True,False,20,1,31190717.0,82.99066666666666,0.39999999999999997,5.9879999999999995
1045,True,True,False,True,True,True,False,False,False,40,1,33226846.0,77.75066666666667,0.432,6.654
1046,True,False,False,True,True,True,True,False,False,40,1,31190717.0,83.01466666666666,0.40399999999999997,5.972
1047,True,True,False,False,False,True,False,False,True,20,9,26525952.0,249.9333333333333,0.48933333333333334,17.357
1048,True,True,False,True,True,True,False,False,False,40,9,32427405.0,251.77733333333333,0.5733333333333334,17.718
1049,True,True,False,True,True,True,False,True,False,20,5,32902349.0,112.43599999999999,0.48933333333333334,8.158999999999999
105,True,True,False,True,False,True,True,False,False,40,5,30294917.0,166.84133333333332,0.4706666666666666,11.675
1050,True,True,False,False,False,True,False,False,True,20,5,26906672.0,168.016,0.5266666666666667,11.665999999999999
1051,True,True,False,True,True,True,False,True,False,20,1,33227001.0,77.28933333333333,0.4093333333333333,6.039
1052,True,True,False,True,True,True,False,False,False,40,5,32778662.0,168.27333333333334,0.5173333333333333,12.061
1053,True,True,False,False,False,True,False,False,True,20,1,27511111.0,78.83066666666667,0.4466666666666667,6.045
1054,True,False,False,True,False,False,True,False,True,40,1,30777930.0,83.59599999999999,0.4306666666666667,5.95
1055,True,False,False,True,True,True,True,True,False,20,9,30872778.0,158.756,0.5013333333333333,10.811
1056,True,False,False,True,True,True,True,False,False,40,9,30775356.0,258.45599999999996,0.528,18.019000000000002
1057,True,False,False,True,True,True,True,True,False,20,5,31065034.0,119.544,0.47733333333333333,8.197000000000001
1058,True,False,False,True,False,False,True,True,True,20,9,30291281.0,158.07333333333335,0.496,10.81
1059,True,False,False,True,False,False,True,False,True,40,5,30427966.0,175.37199999999999,0.49333333333333335,12.15
106,True,True,False,False,True,False,True,True,False,40,9,26062269.0,154.95200000000003,0.47866666666666663,10.602
1060,True,False,False,True,False,False,True,True,True,20,1,30777930.0,83.64533333333334,0.4373333333333333,5.984
1061,True,True,False,False,True,True,False,True,False,40,1,28110457.0,78.29066666666667,0.4626666666666666,6.652
1062,True,True,False,False,True,True,False,False,False,60,5,27704838.0,169.26933333333332,0.5493333333333333,12.538
1063,True,False,False,True,False,False,True,False,True,40,9,30166680.0,255.89733333333334,0.49733333333333335,17.473
1064,True,False,False,True,False,False,True,True,True,20,5,30534544.0,119.37733333333334,0.46799999999999997,8.232000000000001
1065,True,True,False,False,True,True,False,False,False,60,1,28113158.0,78.53466666666667,0.47333333333333333,7.275
1066,True,True,False,True,True,True,False,True,True,60,9,32520334.0,152.78666666666666,0.5933333333333334,11.309000000000001
1067,True,True,False,False,True,True,False,True,False,40,9,27466132.0,155.83333333333334,0.5986666666666666,11.255
1068,True,True,False,False,True,True,False,True,False,40,5,27796336.0,114.62,0.52,8.732000000000001
1069,True,True,False,True,True,True,False,True,False,20,9,32578189.0,152.468,0.5066666666666667,10.66
107,True,False,False,False,False,False,False,True,False,20,1,26033512.0,84.91466666666668,0.4506666666666666,6.409
1070,True,True,False,False,True,True,False,False,False,60,9,27373788.0,253.42933333333335,0.5893333333333334,18.113
1071,True,True,False,True,True,True,False,True,True,60,1,33181185.0,77.88666666666667,0.556,7.289
1072,True,True,False,True,True,True,False,True,True,60,5,32852031.0,112.35199999999999,0.5519999999999999,9.051
1073,True,False,False,True,True,True,True,False,False,20,1,31190717.0,83.00133333333333,0.38666666666666666,5.92
1074,True,False,False,False,True,False,False,True,True,20,9,26063889.0,162.072,0.5013333333333333,11.321
1075,True,True,False,True,False,False,False,False,False,40,1,32580270.0,78.06400000000001,0.5093333333333333,6.664
1076,True,False,False,False,True,True,True,False,False,60,9,24992644.0,259.62666666666667,0.5226666666666667,17.87
1077,True,False,False,True,False,False,True,True,False,60,9,30293879.0,157.95466666666667,0.504,10.662
1078,True,False,False,False,True,True,True,True,False,40,5,24943854.0,120.61866666666667,0.444,8.34
1079,True,False,False,False,True,True,True,True,False,40,9,24789097.0,160.66666666666666,0.528,11.032
108,True,True,False,True,False,True,True,False,False,40,9,29873977.0,247.46533333333332,0.552,17.195999999999998
1080,True,False,False,True,False,False,True,False,True,60,1,30777930.0,83.65466666666667,0.37999999999999995,5.978
1081,True,False,False,True,True,True,True,False,False,20,9,30775356.0,258.304,0.476,17.891
1082,True,False,False,False,True,True,True,False,False,60,1,25019812.0,82.85333333333334,0.38799999999999996,5.916
1083,True,False,False,True,False,False,True,True,False,60,1,30777930.0,83.584,0.39200000000000007,5.931
1084,True,False,False,True,True,True,True,False,False,20,5,30981003.0,175.98666666666668,0.45333333333333337,12.139000000000001
1085,True,False,False,True,False,False,True,True,False,60,5,30535353.0,119.45733333333332,0.4493333333333333,8.116
1086,True,False,False,False,True,True,True,False,False,60,5,25066646.0,176.74666666666667,0.4626666666666666,12.270999999999999
1087,True,False,False,False,True,True,True,True,False,40,1,25019812.0,82.664,0.44,5.888999999999999
1088,True,True,False,False,True,False,True,False,True,20,1,26696150.0,76.82533333333333,0.38000000000000006,5.559
1089,True,False,False,True,False,False,True,True,True,40,9,30291281.0,158.00666666666666,0.492,10.982999999999999
109,True,False,False,False,True,False,False,False,False,60,9,26283972.0,260.52000000000004,0.5826666666666667,18.759
1090,True,True,False,False,True,False,True,False,True,20,5,26314045.0,169.556,0.48533333333333334,11.681
1091,True,True,False,True,False,False,False,True,True,60,9,31703190.0,151.83866666666665,0.6346666666666666,11.335
1092,True,True,False,False,True,False,True,False,True,20,9,26002040.0,253.59066666666664,0.476,17.374000000000002
1093,True,False,False,True,False,False,True,False,True,60,5,30427966.0,175.264,0.484,12.169
1094,True,False,False,True,False,False,True,True,True,40,1,30777930.0,83.52266666666667,0.432,5.942
1095,True,False,False,True,False,False,True,False,True,60,9,30166680.0,255.84533333333331,0.4666666666666666,17.675
1096,True,False,False,True,False,False,True,True,True,40,5,30534544.0,119.36,0.4626666666666666,8.173
1097,True,True,False,True,False,False,False,False,False,40,5,31907784.0,166.88133333333334,0.5173333333333333,11.883
1098,True,True,False,True,True,True,False,False,True,20,9,32374825.0,251.22533333333334,0.548,17.223
1099,True,True,False,True,False,False,False,True,False,20,1,32583425.0,77.83733333333335,0.46399999999999997,6.034
11,True,False,False,True,True,True,True,False,True,40,1,31190717.0,82.85466666666667,0.4000000000000001,5.955
110,True,False,False,False,False,False,False,True,False,20,5,25837379.0,121.62133333333334,0.49066666666666664,8.741
1100,True,False,False,False,True,False,False,True,True,40,9,26062567.0,162.47333333333333,0.6546666666666666,11.577
1101,True,False,False,False,True,False,False,False,True,60,9,26243503.0,260.2266666666667,0.5386666666666667,18.69
1102,True,True,False,True,False,False,False,False,False,40,9,31469460.0,248.11066666666667,0.5386666666666667,17.632
1103,True,False,False,False,True,False,False,True,True,40,5,26222356.0,121.40933333333335,0.512,9.033
1104,True,True,False,True,False,False,False,True,False,20,5,32130767.0,112.05333333333334,0.49333333333333335,8.005
1105,True,False,False,False,True,False,False,False,True,60,5,26329960.0,176.82533333333333,0.5506666666666667,12.939
1106,True,True,False,True,False,False,False,True,True,60,5,32074302.0,112.26533333333333,0.5373333333333333,8.824
1107,True,True,False,True,True,True,False,False,True,20,1,33177542.0,77.28666666666668,0.37333333333333335,5.978
1108,True,False,False,False,True,False,False,True,True,40,1,26312963.0,84.38133333333333,0.476,6.937
1109,True,True,False,True,False,False,False,True,False,20,9,31760254.0,151.51199999999997,0.5453333333333333,10.716
111,True,False,False,False,False,True,True,False,False,20,1,24714612.0,83.54266666666668,0.36533333333333334,5.936
1110,True,False,False,False,True,False,False,False,True,60,1,26312094.0,84.64666666666666,0.5133333333333333,7.385
1111,True,True,False,True,False,False,False,True,True,60,1,32533475.0,78.29066666666667,0.5733333333333334,7.252999999999999
1112,True,True,False,True,True,True,False,False,True,20,5,32722674.0,168.04,0.48533333333333334,11.709000000000001
1113,True,True,False,True,True,True,False,False,True,60,1,33181185.0,77.73866666666667,0.5013333333333333,7.127999999999999
1114,True,True,False,True,False,False,False,False,False,60,1,32581085.0,78.33999999999999,0.5213333333333333,7.236000000000001
1115,True,True,False,True,False,False,False,False,False,60,5,31905498.0,167.22133333333335,0.5333333333333333,12.409
1116,True,True,False,True,False,False,False,True,False,40,1,32580270.0,78.272,0.48,6.665
1117,True,False,False,True,False,False,True,False,False,60,9,30171098.0,255.64133333333334,0.5306666666666667,17.584
1118,True,False,False,True,False,False,True,True,False,40,5,30535353.0,119.43599999999999,0.46399999999999997,8.113999999999999
1119,True,False,False,False,True,True,True,True,False,60,9,24789097.0,160.84799999999998,0.49333333333333335,10.905
112,True,False,False,False,True,False,False,False,False,60,5,26372752.0,176.92933333333335,0.5413333333333333,12.984000000000002
1120,True,False,False,True,True,True,True,False,True,20,5,30974909.0,175.84533333333334,0.47866666666666663,12.085
1121,True,False,False,True,False,False,True,True,False,40,9,30293879.0,158.088,0.5026666666666667,10.745
1122,True,False,False,True,False,False,True,True,True,60,1,30777930.0,83.44,0.4213333333333334,5.946000000000001
1123,True,False,False,True,True,True,True,False,True,20,1,31190717.0,83.056,0.408,5.917000000000001
1124,True,False,False,False,True,True,True,True,False,60,1,25019812.0,82.764,0.4053333333333334,5.91
1125,True,False,False,True,False,False,True,False,False,60,1,30777930.0,83.62266666666666,0.41733333333333333,6.025
1126,True,False,False,False,True,True,True,True,False,60,5,24943854.0,120.85200000000002,0.4626666666666666,8.437999999999999
1127,True,False,False,True,False,False,True,False,False,60,5,30427776.0,175.16533333333334,0.4533333333333333,12.171
1128,True,False,False,True,False,False,True,True,False,40,1,30777930.0,83.48666666666666,0.424,5.961
1129,True,True,False,False,True,False,True,False,True,60,1,26696150.0,76.71999999999998,0.476,5.612
113,True,False,False,False,False,False,False,True,False,20,9,25639663.0,161.63733333333334,0.552,11.350999999999999
1130,True,True,False,False,True,False,True,False,True,40,1,26696150.0,76.704,0.36800000000000005,5.567
1131,True,True,False,False,True,False,True,True,True,20,1,26696150.0,76.90666666666667,0.37333333333333335,5.561
1132,True,True,False,False,True,False,True,False,True,40,5,26314045.0,169.43066666666667,0.48533333333333334,11.562999999999999
1133,True,False,False,True,False,False,True,True,True,60,5,30534544.0,119.42933333333333,0.43733333333333335,8.105
1134,True,True,False,False,True,False,True,True,True,20,5,26391331.0,114.28399999999999,0.4653333333333333,7.8
1135,True,True,False,False,True,False,True,False,True,40,9,26002040.0,253.54133333333334,0.49866666666666665,17.303
1136,True,False,False,True,False,False,True,True,True,60,9,30291281.0,157.89066666666668,0.45599999999999996,10.662
1137,True,False,False,True,True,True,True,False,True,20,9,30780176.0,258.13466666666665,0.5066666666666667,17.709
1138,True,True,False,False,True,False,True,True,True,20,9,26057733.0,154.57866666666666,0.5640000000000001,10.74
1139,True,True,False,True,True,True,False,False,True,40,9,32370166.0,251.532,0.5546666666666666,17.66
114,True,False,False,False,False,True,True,False,False,20,5,24635008.0,176.06133333333332,0.504,12.182
1140,True,True,False,True,False,False,False,False,False,60,9,31470226.0,248.75466666666668,0.5533333333333333,17.843
1141,True,True,False,True,False,False,False,True,False,40,5,32126117.0,111.96666666666665,0.5013333333333333,8.547
1142,True,False,False,False,True,False,False,True,True,20,5,26217775.0,121.66266666666667,0.46399999999999997,8.587
1143,True,True,False,True,True,True,False,True,True,20,5,32850963.0,112.22266666666667,0.47733333333333333,8.103
1144,True,False,False,False,True,False,False,False,True,40,9,26241915.0,260.4546666666667,0.5266666666666667,18.180999999999997
