configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,True,True,False,False,True,True,False,True,True,20,9,805550.0,16.380000000000003,0.172,2.967
10,True,True,False,True,False,True,False,False,True,40,9,919752.0,18.8736,0.192,3.25
100,True,True,False,False,True,False,True,True,False,40,1,825417.0,10.970400000000001,0.12,1.729
1000,True,True,False,True,False,True,True,True,False,40,9,880405.0,16.8024,0.176,2.656
1001,True,False,False,False,True,False,False,True,False,60,5,921861.0,13.544,0.19519999999999998,2.353
1002,True,False,False,True,False,True,False,False,False,60,5,978208.0,15.2352,0.1992,2.7439999999999998
1003,True,False,False,False,True,False,False,True,False,60,1,928174.0,11.108799999999999,0.196,1.9769999999999999
1004,True,False,False,True,False,True,False,False,False,60,1,1004604.0,11.216,0.1608,1.9980000000000002
1005,True,True,False,False,True,True,False,False,True,60,1,909307.0,10.817600000000002,0.16959999999999997,1.913
1006,True,True,False,False,True,True,False,False,True,60,9,871006.0,19.3504,0.1976,3.303
1007,True,True,False,False,True,True,False,False,True,60,5,884118.0,14.940800000000001,0.20719999999999997,2.6519999999999997
1008,True,False,False,False,True,False,False,True,False,60,9,912147.0,16.537599999999998,0.20800000000000002,2.781
1009,True,False,False,True,True,False,False,False,True,20,1,913642.0,10.716799999999997,0.14400000000000002,1.7719999999999998
101,True,False,False,False,False,False,True,False,False,40,5,837716.0,15.5344,0.18160000000000004,2.57
1010,True,False,False,True,False,True,False,False,False,60,9,964110.0,19.4544,0.22000000000000003,3.429
1011,True,True,False,True,True,True,False,False,False,20,1,895994.0,10.340799999999998,0.1528,1.7080000000000002
1012,True,False,False,True,True,True,True,False,False,60,5,904425.0,15.4816,0.22079999999999997,2.6060000000000003
1013,True,False,False,True,True,True,True,True,False,40,1,931446.0,11.3032,0.16160000000000002,1.815
1014,True,False,False,True,True,True,True,False,False,60,1,931446.0,11.3088,0.152,1.814
1015,True,True,False,True,True,True,False,False,False,20,9,854167.0,18.552,0.20800000000000002,3.15
1016,True,True,False,True,True,True,False,False,False,20,5,866378.0,14.335999999999999,0.2016,2.497
1017,True,True,False,True,False,False,False,True,False,60,1,979680.0,10.7912,0.1416,1.9480000000000002
1018,True,False,False,True,True,True,True,True,False,40,9,911111.0,17.247999999999998,0.1608,2.7310000000000003
1019,True,True,False,True,False,True,True,True,False,60,1,892557.0,10.7624,0.1592,1.71
102,True,True,False,True,False,True,True,False,False,40,1,892557.0,10.808800000000002,0.11839999999999999,1.695
1020,True,False,False,True,True,True,True,True,False,40,5,917048.0,13.915199999999999,0.1728,2.272
1021,True,False,False,True,True,True,True,False,False,60,9,894092.0,20.0904,0.2008,3.343
1022,True,True,False,True,False,True,True,True,False,60,5,885250.0,13.463199999999997,0.17840000000000003,2.194
1023,True,False,False,True,False,True,False,True,False,60,1,1004604.0,11.187999999999999,0.1656,1.9880000000000002
1024,True,True,False,True,False,True,True,True,False,60,9,880405.0,16.776000000000003,0.16160000000000002,2.658
1025,True,False,False,True,False,False,True,False,True,20,9,885828.0,19.619999999999997,0.21199999999999997,3.286
1026,True,True,False,False,True,True,False,True,False,60,1,908594.0,10.8592,0.1592,1.923
1027,True,False,False,True,False,False,True,False,True,20,1,916992.0,11.2608,0.15200000000000002,1.796
1028,True,False,False,True,False,False,True,False,True,20,5,897672.0,15.2584,0.18000000000000002,2.572
1029,True,True,False,False,True,True,False,True,False,60,9,887500.0,16.621599999999997,0.18080000000000002,2.752
103,True,True,False,False,True,False,True,True,False,40,5,820006.0,13.5024,0.1544,2.161
1030,True,False,False,False,True,False,False,False,True,20,9,811499.0,18.7808,0.21600000000000003,3.178
1031,True,True,False,True,False,False,False,True,False,60,5,963382.0,13.0304,0.2032,2.335
1032,True,True,False,True,True,True,False,True,True,40,9,941279.0,16.1664,0.1632,2.678
1033,True,False,False,False,True,False,False,False,True,20,5,822881.0,14.6424,0.2008,2.4930000000000003
1034,True,True,False,False,True,True,False,True,False,60,5,897880.0,13.4416,0.1688,2.343
1035,True,True,False,True,False,False,False,True,False,60,9,953188.0,16.018400000000003,0.17279999999999998,2.72
1036,True,False,False,False,True,False,False,False,True,20,1,840765.0,10.812,0.13840000000000002,1.807
1037,True,False,False,True,False,True,False,True,False,60,9,983194.0,16.827199999999998,0.20800000000000002,2.875
1038,True,True,False,True,True,True,False,False,True,60,5,960076.0,14.733600000000001,0.192,2.6639999999999997
1039,True,True,False,True,True,True,False,True,True,40,1,973833.0,10.5856,0.15280000000000002,1.7919999999999998
104,True,False,False,False,False,False,True,False,False,40,1,850789.0,11.3744,0.1496,1.794
1040,True,False,False,True,False,True,False,True,False,60,5,992499.0,13.731200000000001,0.19680000000000003,2.454
1041,True,True,False,True,True,True,False,False,True,60,9,945241.0,18.8856,0.22560000000000002,3.319
1042,True,True,False,True,True,True,False,True,True,40,5,952526.0,13.0264,0.18719999999999998,2.259
1043,True,False,False,True,True,True,True,False,False,40,5,904425.0,15.529599999999999,0.1792,2.603
1044,True,False,False,True,True,True,True,True,False,20,1,931446.0,11.313600000000001,0.15840000000000004,1.8130000000000002
1045,True,True,False,True,True,True,False,False,False,40,1,971727.0,10.612,0.1496,1.8359999999999999
1046,True,False,False,True,True,True,True,False,False,40,1,931446.0,11.3288,0.1272,1.804
1047,True,True,False,False,False,True,False,False,True,20,9,788244.0,19.226399999999998,0.18960000000000002,3.21
1048,True,True,False,True,True,True,False,False,False,40,9,923734.0,18.758399999999998,0.22719999999999999,3.252
1049,True,True,False,True,True,True,False,True,False,20,5,880062.0,12.901600000000002,0.1648,2.1630000000000003
105,True,True,False,True,False,True,True,False,False,40,5,874503.0,15.1376,0.1456,2.528
1050,True,True,False,False,False,True,False,False,True,20,5,797926.0,14.7952,0.17760000000000004,2.5140000000000002
1051,True,True,False,True,True,True,False,True,False,20,1,895994.0,10.3768,0.124,1.75
1052,True,True,False,True,True,True,False,False,False,40,5,937253.0,14.590399999999999,0.2016,2.582
1053,True,True,False,False,False,True,False,False,True,20,1,814243.0,10.621599999999999,0.14640000000000003,1.757
1054,True,False,False,True,False,False,True,False,True,40,1,916992.0,11.2656,0.1312,1.8
1055,True,False,False,True,True,True,True,True,False,20,9,911111.0,17.2272,0.1712,2.765
1056,True,False,False,True,True,True,True,False,False,40,9,894092.0,20.0896,0.2144,3.355
1057,True,False,False,True,True,True,True,True,False,20,5,917048.0,13.9256,0.17360000000000003,2.2640000000000002
1058,True,False,False,True,False,False,True,True,True,20,9,903685.0,16.8112,0.1952,2.662
1059,True,False,False,True,False,False,True,False,True,40,5,897672.0,15.2352,0.188,2.5780000000000003
106,True,True,False,False,True,False,True,True,False,40,9,814024.0,16.6992,0.16960000000000003,2.6069999999999998
1060,True,False,False,True,False,False,True,True,True,20,1,916992.0,11.248800000000001,0.1552,1.784
1061,True,True,False,False,True,True,False,True,False,40,1,888433.0,10.724,0.15200000000000002,1.841
1062,True,True,False,False,True,True,False,False,False,60,5,883231.0,14.968,0.21600000000000003,2.654
1063,True,False,False,True,False,False,True,False,True,40,9,885828.0,19.628800000000002,0.1984,3.2760000000000002
1064,True,False,False,True,False,False,True,True,True,20,5,909233.0,13.714400000000001,0.16720000000000002,2.226
1065,True,True,False,False,True,True,False,False,False,60,1,908594.0,10.8368,0.17839999999999998,1.931
1066,True,True,False,True,True,True,False,True,True,60,9,963666.0,16.2288,0.1888,2.739
1067,True,True,False,False,True,True,False,True,False,40,9,869139.0,16.5056,0.17279999999999998,2.69
1068,True,True,False,False,True,True,False,True,False,40,5,876813.0,13.3032,0.1688,2.271
1069,True,True,False,True,True,True,False,True,False,20,9,869686.0,16.004799999999996,0.18880000000000002,2.612
107,True,False,False,False,False,False,False,True,False,20,1,832708.0,10.909600000000001,0.1456,1.807
1070,True,True,False,False,True,True,False,False,False,60,9,870206.0,19.3328,0.1992,3.3369999999999997
1071,True,True,False,True,True,True,False,True,True,60,1,995818.0,10.699200000000001,0.17439999999999997,1.875
1072,True,True,False,True,True,True,False,True,True,60,5,973527.0,13.144,0.20559999999999995,2.324
1073,True,False,False,True,True,True,True,False,False,20,1,931446.0,11.3096,0.16,1.825
1074,True,False,False,False,True,False,False,True,True,20,9,828550.0,16.3064,0.1608,2.627
1075,True,True,False,True,False,False,False,False,False,40,1,956674.0,10.578399999999998,0.1528,1.8319999999999999
1076,True,False,False,False,True,True,True,False,False,60,9,837151.0,20.477600000000002,0.2088,3.4130000000000003
1077,True,False,False,True,False,False,True,True,False,60,9,901237.0,16.8624,0.172,2.6910000000000003
1078,True,False,False,False,True,True,True,True,False,40,5,860506.0,14.1304,0.18239999999999998,2.267
1079,True,False,False,False,True,True,True,True,False,40,9,852723.0,17.505599999999998,0.1752,2.7430000000000003
108,True,True,False,True,False,True,True,False,False,40,9,863042.0,19.639999999999997,0.1816,3.2889999999999997
1080,True,False,False,True,False,False,True,False,True,60,1,916992.0,11.2712,0.1272,1.787
1081,True,False,False,True,True,True,True,False,False,20,9,894092.0,20.0848,0.20479999999999995,3.385
1082,True,False,False,False,True,True,True,False,False,60,1,862747.0,11.392,0.13599999999999998,1.801
1083,True,False,False,True,False,False,True,True,False,60,1,915342.0,11.276000000000002,0.15760000000000002,1.791
1084,True,False,False,True,True,True,True,False,False,20,5,904425.0,15.523999999999997,0.18480000000000002,2.654
1085,True,False,False,True,False,False,True,True,False,60,5,908314.0,13.722400000000002,0.17119999999999996,2.23
1086,True,False,False,False,True,True,True,False,False,60,5,846472.0,15.808000000000002,0.18719999999999998,2.661
1087,True,False,False,False,True,True,True,True,False,40,1,862747.0,11.3704,0.1496,1.8159999999999998
1088,True,True,False,False,True,False,True,False,True,20,1,828388.0,10.988,0.12320000000000002,1.7380000000000002
1089,True,False,False,True,False,False,True,True,True,40,9,903685.0,16.8504,0.1704,2.69
109,True,False,False,False,True,False,False,False,False,60,9,894482.0,19.1488,0.2096,3.29
1090,True,True,False,False,True,False,True,False,True,20,5,806726.0,15.1256,0.18560000000000004,2.5
1091,True,True,False,True,False,False,False,True,True,60,9,951777.0,15.9472,0.1696,2.688
1092,True,True,False,False,True,False,True,False,True,20,9,799577.0,19.5768,0.1888,3.196
1093,True,False,False,True,False,False,True,False,True,60,5,897672.0,15.289599999999998,0.17919999999999997,2.5839999999999996
1094,True,False,False,True,False,False,True,True,True,40,1,916992.0,11.276,0.1296,1.7790000000000001
1095,True,False,False,True,False,False,True,False,True,60,9,885828.0,19.622400000000003,0.1936,3.2539999999999996
1096,True,False,False,True,False,False,True,True,True,40,5,909233.0,13.732800000000001,0.1544,2.226
1097,True,True,False,True,False,False,False,False,False,40,5,928319.0,14.352800000000002,0.184,2.5340000000000003
1098,True,True,False,True,True,True,False,False,True,20,9,855461.0,18.552799999999998,0.2048,3.1430000000000002
1099,True,True,False,True,False,False,False,True,False,20,1,879807.0,10.380799999999999,0.14,1.733
11,True,False,False,True,True,True,True,False,True,40,1,933096.0,11.2904,0.15760000000000002,1.785
110,True,False,False,False,False,False,False,True,False,20,5,831870.0,13.3112,0.1944,2.194
1100,True,False,False,False,True,False,False,True,True,40,9,892505.0,16.4184,0.1624,2.6910000000000003
1101,True,False,False,False,True,False,False,False,True,60,9,894867.0,19.142400000000002,0.22800000000000004,3.299
1102,True,True,False,True,False,False,False,False,False,40,9,912805.0,18.3728,0.2136,3.174
1103,True,False,False,False,True,False,False,True,True,40,5,901754.0,13.417600000000002,0.1512,2.26
1104,True,True,False,True,False,False,False,True,False,20,5,869495.0,12.710400000000002,0.17919999999999997,2.156
1105,True,False,False,False,True,False,False,False,True,60,5,907306.0,14.968,0.2072,2.6519999999999997
1106,True,True,False,True,False,False,False,True,True,60,5,963428.0,13.0104,0.1824,2.289
1107,True,True,False,True,True,True,False,False,True,20,1,896760.0,10.3696,0.13520000000000001,1.722
1108,True,False,False,False,True,False,False,True,True,40,1,909174.0,10.956800000000001,0.1688,1.881
1109,True,True,False,True,False,False,False,True,False,20,9,859855.0,15.628,0.1856,2.53
111,True,False,False,False,False,True,True,False,False,20,1,854769.0,11.494399999999999,0.1288,1.796
